,ORG,PER,DATE,LOC,Mean
lug,0.987588543492949,0.9600176145100581,0.984120348741437,0.9889035160379124,0.9801575056955891
nya,0.9868436982003291,0.9617601313997411,0.9804735054398196,0.9901584532606984,0.9798089470751471
kin,0.9816950145118721,0.9557552136430224,0.9875349786213221,0.9913388733275106,0.9790810200259319
hau,0.9850729338387026,0.9576573550045874,0.9829666431083643,0.9844933155930987,0.9775475618861883
sna,0.9863147160764458,0.946195764137504,0.9856214271972166,0.9892375151937283,0.9768423556512237
zul,0.9855900374868454,0.9511427653135529,0.9816576699190993,0.9800435147280667,0.9746084968618911
twi,0.9881669921389629,0.9518661367047884,0.9754118408999032,0.9826113256395557,0.9745140738458026
luo,0.9778255261863268,0.9472847019328473,0.9841323491004087,0.9868993458120014,0.974035480757896
ibo,0.9642824953796139,0.9562658492298617,0.9880929288391173,0.9860125673864639,0.9736634602087642
wol,0.9805081000584503,0.9510867697846964,0.9755868111099818,0.9804437370345715,0.9719063544969251
xho,0.9838984691801822,0.9308162633711511,0.9858967958427901,0.985803543763787,0.9716037680394777
tsn,0.975976598037453,0.9490006963569205,0.9832013179849347,0.9774880278490622,0.9714166600570926
bam,0.9664576205747499,0.954805424198496,0.9811597087543793,0.9793066947282122,0.9704323620639593
mos,0.9749490900947367,0.9479462120069555,0.9687947989001852,0.981053778294308,0.9681859698240463
ewe,0.9653285575012058,0.9500302640650564,0.9715938816084921,0.9683098487229344,0.9638156379744222
swa,0.9624495483995329,0.9437439353591284,0.9696899542444597,0.9707568643454084,0.9616600755871323
yor,0.9672852204518989,0.9433940425248479,0.9632299320723771,0.9660365094341056,0.9599864261208073
bbj,0.965445362249505,0.9494626510178975,0.964041099321221,0.9578326717250453,0.9591954460784171
fon,0.9711036753282282,0.9404907510890633,0.9431749307871249,0.9741378954828892,0.9572268131718265
pcm,0.9609237837111863,0.9402771022843832,0.9358666500530944,0.959455729045273,0.9491308162734842
