,PER,DATE,ORG,LOC,Mean
sna,0.9999250388255083,0.999965050675081,0.9999790504148558,0.9999676109331816,0.9999591877121566
lug,0.9999426707329486,0.9999689885676569,0.9999563627831625,0.9999525935507882,0.9999551539086391
xho,0.9998987143186142,0.9999753034385053,0.9999653617974482,0.9999545174540709,0.9999484742521597
nya,0.9999421456617904,0.9999173014049552,0.9999625868887533,0.999966966089263,0.9999472500111904
zul,0.9999198270108219,0.9999378707688931,0.9999769062543589,0.9999415788131316,0.9999440457118014
kin,0.9999159878180356,0.9999237501972125,0.9999765785635032,0.9999566942526824,0.9999432527078584
hau,0.9999277575134664,0.9999410993258531,0.9999547781691943,0.9999350067404565,0.9999396604372426
wol,0.9999232108307264,0.9999093068739374,0.9999676247730083,0.9999452179737849,0.9999363401128643
ibo,0.999933293445839,0.9999477203886616,0.9999229567220136,0.9999342108595297,0.9999345453540109
twi,0.9999367209820764,0.9998994306412388,0.9999659514708856,0.9999202059891813,0.9999305772708454
luo,0.9999040541567078,0.9999269521127396,0.9999381276886102,0.9999517496966321,0.9999302209136725
swa,0.9999151714363921,0.9999149291022034,0.9999461817292011,0.9999386341137715,0.999928729095392
bam,0.9999136885944434,0.9999124891234671,0.9999607926550467,0.9999086582907076,0.9999239071659163
tsn,0.999889836552491,0.9999554279179195,0.9999453965842129,0.9998852267035822,0.9999189719395514
mos,0.9999128396142314,0.9999065378792104,0.9999658698977039,0.9998568081936311,0.9999105138961942
ewe,0.9999003486175513,0.9998429506158802,0.9999234912493753,0.9998663267481789,0.9998832793077463
fon,0.9998795606544406,0.9998132661962377,0.9999579925253784,0.9998504483488778,0.9998753169312337
bbj,0.9999093128597174,0.9997406436966222,0.999900415337188,0.9998912071943282,0.999860394771964
pcm,0.9999120810328579,0.9997673118230187,0.9998726681548363,0.9998724792779511,0.999856135072166
yor,0.9998174765027659,0.9998392182831948,0.9999017399927096,0.9998193896748107,0.9998444561133703
