,ORG,DATE,LOC,PER,Mean
kin,0.8569839,0.60318804,0.7114167,0.7965968,0.74204636
hau,0.8531465,0.65015554,0.7067846,0.74811137,0.7395495
wol,0.7934245,0.6075115,0.7720338,0.78055525,0.73838127
tsn,0.7980921,0.6299294,0.7507894,0.7737491,0.73814005
luo,0.8587415,0.60752076,0.67250884,0.79703337,0.7339511
pcm,0.8333758,0.6105739,0.6934663,0.79772127,0.7337843
lug,0.8503045,0.6127357,0.68458664,0.7862847,0.7334779
swa,0.8166117,0.6192805,0.67336017,0.8169862,0.73155963
sna,0.8866598,0.628948,0.68959904,0.71926343,0.7311176
twi,0.8454974,0.6051546,0.6857436,0.78666323,0.7307647
nya,0.8888799,0.61146694,0.67526734,0.74076563,0.729095
ewe,0.7929878,0.63307595,0.7071357,0.77954054,0.728185
ibo,0.84290904,0.60184133,0.6813735,0.78448206,0.7276515
xho,0.6728885,0.73532504,0.8003086,0.7009989,0.7273803
mos,0.8071697,0.61103743,0.6712889,0.78038716,0.7174708
zul,0.72343475,0.6964713,0.7171538,0.7323609,0.71735513
yor,0.781335,0.62868667,0.6869853,0.7552651,0.713068
bam,0.7648604,0.63261646,0.6699517,0.7775135,0.7112355
bbj,0.7825056,0.605487,0.6655929,0.75647527,0.7025152
fon,0.7418014,0.6028902,0.6941227,0.7103908,0.6873012
