,PER,ORG,LOC,DATE
bam,0.9999840259552002,0.9999764561653137,0.9999735355377197,0.9999817609786987
bbj,0.99998939037323,0.9999893307685852,0.9999881386756897,0.9999839663505554
ewe,0.9999827146530151,0.9999907612800598,0.9999924898147583,0.9999868869781494
fon,0.9999784827232361,0.9999859929084778,0.9999865889549255,0.9999709129333496
hau,0.9999883770942688,0.99998539686203,0.9999891519546509,0.9999772906303406
ibo,0.9999917149543762,0.9999921321868896,0.9999906420707703,0.9999827742576599
kin,0.9999977350234985,0.9999979734420776,0.9999983310699463,0.999997615814209
lug,0.9999983906745911,0.9999964237213135,0.9999961853027344,0.9999971389770508
luo,0.9999955892562866,0.9999949932098389,0.999995768070221,0.9999957084655762
mos,0.999990701675415,0.9999933242797852,0.9999929666519165,0.9999780654907227
nya,0.999996542930603,0.9999977946281433,0.9999977350234985,0.9999975562095642
pcm,0.9999940991401672,0.9999865889549255,0.9999882578849792,0.9999855756759644
sna,0.999997079372406,0.9999982118606567,0.9999979734420776,0.9999951124191284
swa,0.999989926815033,0.999987781047821,0.999986469745636,0.9999843835830688
tsn,0.9999969005584717,0.9999946355819702,0.999995231628418,0.9999973177909851
twi,0.9999881386756897,0.9999925494194031,0.9999932050704956,0.9999855756759644
wol,0.999994695186615,0.9999961853027344,0.9999926686286926,0.9999935626983643
xho,0.9999914169311523,0.9999943375587463,0.9999962449073792,0.9999942779541016
yor,0.9999880194664001,0.9999904036521912,0.9999900460243225,0.9999780058860779
zul,0.9999932646751404,0.9999962449073792,0.9999955296516418,0.9999921917915344
