,LOC,DATE,PER,ORG,Mean
twi,0.9764876365661621,,0.9166021347045898,0.9882725477218628,0.980464229305971
zul,0.9787807464599609,,0.9057634472846985,0.983106791973114,0.9787540511020179
ewe,0.9793632626533508,,0.909927248954773,0.9821299910545349,0.9786839265267826
mos,0.9752274751663208,,0.9077003598213196,0.9847846031188965,0.9779000484827652
kin,0.9757044315338135,,0.8939703106880188,0.9833748936653137,0.977047351378839
fon,0.9726117849349976,,0.9102665781974792,0.9837561845779419,0.9762058078664021
sna,0.9777851104736328,,0.9021487832069397,0.9789232611656189,0.9761346109862467
nya,0.974722683429718,,0.9131895303726196,0.9777300953865051,0.9743903643876604
ibo,0.9698854088783264,,0.8948781490325928,0.9832965731620789,0.9742110053312432
wol,0.968059778213501,,0.8986539840698242,0.9814430475234985,0.9725349829034898
tsn,0.9740573763847351,,0.9097118973731995,0.9747374057769775,0.9725133475748081
xho,0.9724507331848145,,0.9030976891517639,0.9762387275695801,0.9722695738366507
bbj,0.9629738926887512,,0.9056251645088196,0.9816216230392456,0.9703558376691874
bam,0.9753956198692322,,0.8902077078819275,0.9678163528442383,0.969235162711838
hau,0.9637187719345093,,0.9065408110618591,0.9766384959220886,0.9683251051069464
luo,0.9783893823623657,,0.8922504782676697,0.9623347520828247,0.9680869723986654
lug,0.9664023518562317,,0.8932536840438843,0.9693435430526733,0.9656995708502613
yor,0.9533527493476868,,0.9052954316139221,0.978924572467804,0.9643665280156922
swa,0.9680654406547546,,0.9127915501594543,0.9602985382080078,0.9626851805205484
pcm,0.9719657301902771,,0.9118785858154297,0.9510168433189392,0.9600462566301661
