,PER,LOC,DATE,ORG,Mean
kin,0.9999608397483826,0.9999943375587463,0.9999944567680359,0.9999963641166687,0.999993736927326
luo,0.9999571442604065,0.999987006187439,0.9999881982803345,0.9999946355819702,0.9999886850516001
twi,0.9999558329582214,0.9999892711639404,0.9999827742576599,0.9999932646751404,0.999987182708887
zul,0.9999530911445618,0.9999475479125977,0.9999945163726807,0.9999902248382568,0.9999764936092572
ewe,0.9999594688415527,0.9999431371688843,0.9999827742576599,0.9999929666519165,0.9999724404934125
lug,0.9999595284461975,0.9999564290046692,0.9999911785125732,0.9999565482139587,0.9999677240848541
tsn,0.9999611973762512,0.99992835521698,0.9999935626983643,0.9999815225601196,0.9999675590258378
wol,0.999942421913147,0.9998968839645386,0.9999945759773254,0.9999889135360718,0.999959443624203
sna,0.9999443888664246,0.99992835521698,0.9999964237213135,0.9999539256095886,0.9999589843627734
fon,0.9999406337738037,0.9999213814735413,0.9999634623527527,0.9999896287918091,0.9999574835483844
nya,0.9999650716781616,0.9998852610588074,0.9999919533729553,0.9999942183494568,0.9999574491610894
swa,0.9999529719352722,0.9999949932098389,0.9999206066131592,0.9999381899833679,0.9999513289867303
yor,0.9999576807022095,0.9998762607574463,0.9999910593032837,0.9999855160713196,0.999951204428306
mos,0.9999302625656128,0.9998937249183655,0.999977171421051,0.9999836087226868,0.9999506847980695
xho,0.9999500513076782,0.9998719096183777,0.9999721646308899,0.9999923706054688,0.9999456573755313
bam,0.9999579787254333,0.9998713135719299,0.9999912977218628,0.99993497133255,0.9999335064337804
ibo,0.9999606609344482,0.999808132648468,0.9999942779541016,0.9999876022338867,0.9999311833809583
bbj,0.9999487996101379,0.9998083710670471,0.9999895691871643,0.9999866485595703,0.9999289887073712
pcm,0.9999575614929199,0.9999446868896484,0.9998917579650879,0.9999082684516907,0.9999165450915312
hau,0.9999099373817444,0.9997739195823669,0.9999611973762512,0.9999675750732422,0.9999012450377146
