,LOC,PER,DATE,ORG,Mean
lug,0.99959975,0.9998309,0.9993676,0.99964017,0.99960965
kin,0.9993977,0.99965066,0.9992237,0.9994448,0.99942917
nya,0.9992875,0.9996527,0.99934477,0.9993859,0.9994177
luo,0.99926406,0.99957186,0.9992179,0.9992636,0.9993293
sna,0.9993225,0.9993255,0.99930936,0.99934113,0.99932456
tsn,0.9988067,0.9995246,0.99916255,0.9992913,0.9991963
wol,0.9988636,0.99930114,0.9988869,0.99908644,0.99903446
zul,0.9989867,0.9991923,0.9986451,0.99895656,0.9989451
ibo,0.9988105,0.99880713,0.9986405,0.99835736,0.9986539
ewe,0.9983722,0.9988077,0.9981398,0.9986149,0.99848366
bam,0.99829006,0.9987756,0.9987323,0.99810183,0.99847496
twi,0.99835473,0.998843,0.9980408,0.9984781,0.9984292
pcm,0.99834156,0.9992021,0.997662,0.99840003,0.9984014
xho,0.99845475,0.99918514,0.9976057,0.99813145,0.99834424
mos,0.99810004,0.9987584,0.9978862,0.998514,0.9983146
hau,0.9982134,0.99892676,0.996976,0.99781936,0.99798393
yor,0.99763185,0.9981619,0.9976369,0.9978183,0.9978122
swa,0.99689865,0.998537,0.9971776,0.99768203,0.99757385
bbj,0.9967519,0.9982024,0.99674445,0.9970641,0.9971907
fon,0.9965059,0.99788684,0.99617237,0.9975918,0.9970392
