,1,2,3,4,5,6,7,8,9,10,11,12
kin,0.8774449080228806,0.8867963403463364,0.9317386150360107,0.9453880786895752,0.9608642756938934,0.9695397913455963,0.9561696648597717,0.952345093091329,0.9641342957814535,0.970911959807078,0.9655704498291016,0.824775218963623
twi,0.8395261615514755,0.8622215837240219,0.9171691387891769,0.9365792721509933,0.9543153494596481,0.9636723697185516,0.9465929865837097,0.9488147497177124,0.9633580048878988,0.9684961835543314,0.9654853940010071,0.8210586706797282
nya,0.8530217558145523,0.8704580366611481,0.9239151775836945,0.9392963349819183,0.9574532061815262,0.9541907757520676,0.9323916733264923,0.9269134799639384,0.9470268686612447,0.9620208740234375,0.9632924397786459,0.8133859038352966
hau,0.7932598441839218,0.8181397020816803,0.8905669301748276,0.9132301360368729,0.9380687177181244,0.951985090970993,0.9331098347902298,0.9230932792027792,0.9447732369105021,0.9609054525693258,0.9601022799809774,0.804873009522756
sna,0.8372868001461029,0.8609431236982346,0.9061257094144821,0.9253275096416473,0.943842887878418,0.953048512339592,0.9310434013605118,0.9107560316721598,0.9354896744092306,0.9527871410051981,0.9556441704432169,0.8033643960952759
lug,0.8639498651027679,0.8869129419326782,0.9284287542104721,0.9429196417331696,0.9543406218290329,0.9582426846027374,0.9409264624118805,0.9360284606615702,0.9545708696047465,0.9617953896522522,0.9608548879623413,0.802048405011495
zul,0.8114676475524902,0.8334836810827255,0.8974746763706207,0.9183278232812881,0.9425463527441025,0.9511518180370331,0.925048902630806,0.9068986972173055,0.9375445445378622,0.9551418423652649,0.9570250511169434,0.7948185801506042
ibo,0.8261105418205261,0.8507346212863922,0.9120056182146072,0.9302964210510254,0.9486939460039139,0.960698276758194,0.9345307946205139,0.9211170872052511,0.9435805281003317,0.9577725330988566,0.9606602589289347,0.7925335566202799
tsn,0.8212963342666626,0.8384384512901306,0.9006532579660416,0.921857163310051,0.9440855532884598,0.954682931303978,0.9324604868888855,0.9171094497044882,0.9451704621315002,0.9582415223121643,0.958172082901001,0.7855957746505737
swa,0.8146515786647797,0.8296769708395004,0.8930646032094955,0.9116796255111694,0.9349620193243027,0.9391121119260788,0.9038858115673065,0.8916624784469604,0.9277177651723226,0.9478848973910013,0.9506928126017252,0.7769912282625834
luo,0.8400064557790756,0.8608257323503494,0.9107639342546463,0.9299604147672653,0.9513979852199554,0.9611960798501968,0.9432543069124222,0.930448591709137,0.951874832312266,0.9565288027127584,0.9567661285400391,0.7726813753445944
mos,0.7195606529712677,0.7697450071573257,0.8611445277929306,0.8891308456659317,0.9192504435777664,0.9391197562217712,0.9147839248180389,0.9150895476341248,0.9399049083391825,0.9533659815788269,0.9523177146911621,0.7614937822024027
wol,0.7956799566745758,0.8181139528751373,0.8905712962150574,0.9100192785263062,0.938221737742424,0.9506473541259766,0.9296710342168808,0.9124399224917094,0.937231719493866,0.9487838347752889,0.950238565603892,0.7526675264040629
bam,0.7362746745347977,0.7720513790845871,0.8589540868997574,0.8922865688800812,0.9224956780672073,0.9413166791200638,0.9178930073976517,0.8970118959744772,0.912786602973938,0.9284248948097229,0.9314952691396078,0.7499478658040365
ewe,0.7490545809268951,0.7582671791315079,0.8452652245759964,0.8779993951320648,0.911289319396019,0.9296487122774124,0.9007124602794647,0.9085686604181925,0.9349232713381449,0.946216364701589,0.9461945096651713,0.7421776254971822
xho,0.7885355055332184,0.8117983937263489,0.8858380168676376,0.9070234000682831,0.9327830821275711,0.946673110127449,0.9146963655948639,0.8730177680651346,0.915084719657898,0.9361766974131266,0.9406263828277588,0.7327477335929871
pcm,0.740110456943512,0.7565654367208481,0.8469894379377365,0.8743503391742706,0.9064196199178696,0.9241695702075958,0.8907999843358994,0.9096486568450928,0.9340519507726034,0.9503311316172282,0.9479507406552633,0.7307117780049642
fon,0.7399773001670837,0.7742305099964142,0.8617435693740845,0.8895591199398041,0.9199393093585968,0.9317690283060074,0.9033475816249847,0.8967922925949097,0.9316027959187826,0.9480262597401937,0.948322614034017,0.7250008384386698
bbj,0.6662558689713478,0.7061946392059326,0.8119415640830994,0.8516729027032852,0.8930466771125793,0.9133972227573395,0.8813321888446808,0.8646822969118754,0.9053424398104349,0.9277850190798441,0.925921618938446,0.669699231783549
yor,0.648464247584343,0.6905728727579117,0.809810683131218,0.8475492298603058,0.8896530866622925,0.909414142370224,0.8742014616727829,0.8531153599421183,0.8968510826428732,0.9083975156148275,0.9090097745259603,0.5951289236545563
