layer,model,rank_type,language,pearson
2,mbert,top5,ibo,0.9999317448929257
2,mbert,top5,kin,0.9998929458376898
2,mbert,top5,zul,0.9998867606887026
2,mbert,top5,fon,0.9998754214949165
2,mbert,top5,luo,0.9998732817904405
2,mbert,worst5,bbj,0.9991470995724917
2,mbert,worst5,ewe,0.9992655538111455
2,mbert,worst5,mos,0.999694844551474
2,mbert,worst5,pcm,0.9997278048181882
2,mbert,worst5,xho,0.9997708802659558
3,mbert,top5,ibo,0.9999811530708997
3,mbert,top5,kin,0.999973215972529
3,mbert,top5,wol,0.999972575558641
3,mbert,top5,zul,0.9999719923507278
3,mbert,top5,luo,0.9999719041919454
3,mbert,worst5,bbj,0.9998093426200003
3,mbert,worst5,ewe,0.999853256563331
3,mbert,worst5,mos,0.9999343672918312
3,mbert,worst5,pcm,0.9999391326376044
3,mbert,worst5,bam,0.9999515950190614
10,mbert,top5,twi,0.9846311000414945
10,mbert,top5,kin,0.9838946657615742
10,mbert,top5,swa,0.9836673201341242
10,mbert,top5,luo,0.983399974401606
10,mbert,top5,ibo,0.981566997605819
10,mbert,worst5,yor,0.9612252011035818
10,mbert,worst5,bbj,0.9631484744943504
10,mbert,worst5,mos,0.9714961016549665
10,mbert,worst5,pcm,0.9718780415128515
10,mbert,worst5,fon,0.9719117880712765
12,mbert,top5,kin,0.9608449274056784
12,mbert,top5,twi,0.9600069000166647
12,mbert,top5,lug,0.9558182140379412
12,mbert,top5,swa,0.9535861684892201
12,mbert,top5,luo,0.9527575405523556
12,mbert,worst5,yor,0.8913709903569135
12,mbert,worst5,bbj,0.892828315047186
12,mbert,worst5,pcm,0.9196958529031669
12,mbert,worst5,mos,0.9216223905752146
12,mbert,worst5,wol,0.9225885807799166
