,LOC,DATE,ORG,PER
bam,0.8332735300064087,,0.9239134192466736,
bbj,0.6929635405540466,,0.9334689378738403,
ewe,,,0.952454686164856,0.9695539474487305
fon,0.7830992937088013,,0.9589226245880127,0.9588750004768372
hau,0.7269909977912903,,0.9566165208816528,0.9790534973144531
ibo,0.7855092287063599,,0.9521657824516296,
kin,0.8303250074386597,,0.9586467742919922,0.9781836271286011
lug,,,0.9583227634429932,0.9684160947799683
luo,,,0.9411813616752625,0.9749544858932495
mos,,,0.9451123476028442,0.94899582862854
nya,0.7430341243743896,,0.9274952411651611,0.9662932753562927
pcm,0.879944384098053,,,0.9822025895118713
sna,0.7339335083961487,,0.9180455207824707,0.9747561812400818
swa,0.9123081564903259,,0.9239282608032227,0.9777513742446899
tsn,0.7897314429283142,,0.9357426166534424,
twi,0.8982755541801453,,0.961841344833374,0.9818541407585144
wol,0.7050277590751648,,0.9404362440109253,0.9802199006080627
xho,0.647216260433197,,,0.9324421882629395
yor,0.6284602880477905,,0.9321737289428711,
zul,0.6702107191085815,,,0.9574775695800781
