,DATE,LOC,PER,ORG,Mean
nya,0.6512506,0.69619745,0.74348575,0.84080976,0.7329359
sna,0.65445065,0.69177943,0.7107692,0.870846,0.7319613
wol,0.6384253,0.7998408,0.6800812,0.7895934,0.72698516
tsn,0.67058897,0.740823,0.71648353,0.76932645,0.7243055
zul,0.764564,0.66142136,0.7531282,0.7006017,0.71992874
xho,0.71439666,0.7722651,0.7434776,0.64241636,0.71813893
luo,0.64584917,0.7063513,0.68593454,0.8245318,0.7156667
kin,0.6289835,0.70561916,0.67587036,0.8402082,0.7126703
pcm,0.63655835,0.70595455,0.6956625,0.8089845,0.71178997
ewe,0.6844522,0.7042719,0.6818522,0.7552606,0.70645916
hau,0.66865975,0.7028898,0.65108335,0.8024929,0.7062815
twi,0.62878394,0.7015029,0.68427247,0.8086287,0.70579696
lug,0.6441374,0.68919295,0.66932225,0.81938094,0.7055084
swa,0.6461665,0.6810596,0.70808756,0.7674309,0.7006861
bam,0.687895,0.68125844,0.68830955,0.7391174,0.69914514
mos,0.6424311,0.66637564,0.6856933,0.7919283,0.69660705
ibo,0.61862254,0.6693205,0.68007076,0.8071518,0.6937914
yor,0.64913875,0.6684288,0.684716,0.7588365,0.69028
fon,0.6279227,0.7019694,0.7256094,0.7047512,0.6900632
bbj,0.62080914,0.6477741,0.65438396,0.76826835,0.6728089
