,DATE,PER,LOC,ORG,Mean
xho,0.9997286796569824,0.999213695526123,0.9996976852416992,0.9997794032096863,0.9997270424847841
lug,0.9996768236160278,0.9995455741882324,0.9997366666793823,0.9997529983520508,0.999719381958168
zul,0.9997395873069763,0.9994240999221802,0.9995454549789429,0.9998487234115601,0.9997067331016221
hau,0.9996362924575806,0.9994134306907654,0.9997654557228088,0.9996431469917297,0.9996774080857205
sna,0.9992274045944214,0.999369204044342,0.9997456073760986,0.9998250007629395,0.9995957134276863
kin,0.9992868900299072,0.9993587732315063,0.9997766017913818,0.9997333288192749,0.9995951580563243
nya,0.9993125200271606,0.9996113181114197,0.9998008608818054,0.9996479749679565,0.9995874997199051
luo,0.9996717572212219,0.9992733597755432,0.9997391104698181,0.9992191791534424,0.9995390971501669
ibo,0.9996292591094971,0.9995196461677551,0.9996104836463928,0.9993553161621094,0.9995314966975235
wol,0.9995689392089844,0.9993818998336792,0.9994434118270874,0.9995127320289612,0.9995063695069061
swa,0.9994107484817505,0.999417781829834,0.9996437430381775,0.999441921710968,0.9994975284641496
bam,0.9994497895240784,0.9993159770965576,0.9994068741798401,0.9995629787445068,0.9994707379754134
tsn,0.999697208404541,0.9993255734443665,0.9992700815200806,0.9994062781333923,0.999455772829181
twi,0.9991102814674377,0.9995378255844116,0.9995483756065369,0.9996708035469055,0.9994446444386259
mos,0.9988921284675598,0.9993598461151123,0.99935382604599,0.9995750188827515,0.9992750150950875
ewe,0.9989414811134338,0.9991445541381836,0.9994285702705383,0.999376654624939,0.9992472587295091
bbj,0.9987528324127197,0.999348521232605,0.9993727803230286,0.9993054270744324,0.9991469057839061
yor,0.9988467693328857,0.9987919926643372,0.9988945722579956,0.9991627931594849,0.9989652724403721
pcm,0.9986664652824402,0.9992051124572754,0.9991589188575745,0.9988857507705688,0.998908458106474
fon,0.9977952241897583,0.9990713596343994,0.9993206262588501,0.9995530843734741,0.998892506589414
