layer,best_config,tokens,ctx_window,score_mean_over_langs,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
1,config_0_clsfalse_ctxfalse,500,0,0.01381811248454023,0.0145890210244488,0.0146865251241479,0.013705171304764,0.0151102619670382,0.0155753676835956,0.0127411130465588,0.0121178149082652,0.013186681010211,0.0125917964135169,0.0152204028793221,0.0133825993705158,0.0140981106562776,0.0132128072848445,0.0139259748852964,0.0129852143527386,0.012483613824429,0.0134705752094532,0.0139827131599759,0.0158518863463541,0.013444599239051
2,config_0_clsfalse_ctxfalse,500,0,0.010045563309716895,0.0105488887960518,0.0107084724397736,0.0098707168589271,0.0111263252978233,0.0110876493201885,0.0091529755179635,0.0089295937715405,0.0108097097905783,0.0094925184910152,0.0110725954123154,0.0089772617966445,0.0110881717998836,0.0092709855699695,0.0106729162999954,0.0092858005967855,0.0090496986122161,0.0097370753871928,0.0097553806791665,0.0107852557483738,0.009489274007933
3,config_0_clsfalse_ctxfalse,500,0,0.00877157761985637,0.009261316730317,0.009040858232197,0.0086887532144146,0.0095637242898192,0.0105222302317429,0.0079840961431045,0.0077752402302166,0.008953091978924,0.008107465494163,0.0098585878914718,0.0082568442836645,0.0098052876763858,0.0085181053930227,0.0091471244189733,0.0079972371734129,0.008185941262468,0.0086517594497763,0.0085594611952046,0.0086313660373207,0.007923061070528
4,config_0_clsfalse_ctxfalse,500,0,0.009045667553974056,0.0094154853824193,0.0093118977113135,0.0096452822688206,0.0095002473922249,0.0103627552020952,0.0085330835074728,0.0076558455418762,0.0095522030248957,0.0083152151692047,0.0096394880163188,0.0088243381700294,0.0096170163957367,0.0086655291473789,0.0100325745091822,0.0084558205371649,0.0083821011744475,0.0089031316575756,0.0086914099746309,0.0089753738697027,0.0084345524269906
5,config_0_clsfalse_ctxfalse,500,0,0.008555375868434066,0.0093393470150431,0.0090649098258381,0.0085222962592297,0.0094541026153365,0.0100460042834811,0.008113821890106,0.0075528969969127,0.0090420866429212,0.0079103358126531,0.0085858727785534,0.0082041861460311,0.0088750227768059,0.0079210883658333,0.0086282281665717,0.0083853820499371,0.0077649587315136,0.0086189521744017,0.0080534318191212,0.0089667897916569,0.0080578032267339
6,config_0_clsfalse_ctxfalse,500,0,0.009818560229950837,0.0102322315364062,0.010381553785578,0.0096827521375644,0.0103737310504357,0.0108087596411223,0.0090363421566053,0.0085553684357364,0.0100889704693827,0.0088270270551902,0.0102229808830998,0.0092297107680678,0.0102897201078349,0.0102472615952819,0.0100582961470081,0.0095921492290926,0.0090089173921796,0.010096033913669,0.0095604751791142,0.0109403166450192,0.0091386064706284
7,config_0_clsfalse_ctxfalse,500,0,0.008777694926544606,0.0091118026195999,0.0096266619273137,0.0093968020778447,0.0096654681487962,0.0095757326382681,0.0081100201259687,0.0075191806184307,0.0086575303337212,0.0082226322339238,0.0095722263445168,0.0087940045551704,0.0092561516961495,0.0080569637439111,0.0088294576366934,0.008393574892807,0.0077113485634185,0.0091581963921498,0.0086553604776327,0.009092829797737,0.0081479537068389
8,config_0_clsfalse_ctxfalse,500,0,0.009037801901592922,0.0100324859374723,0.0099152427928856,0.0090613992525732,0.0094224513456993,0.009912153994378,0.0086858848335396,0.008943519487957,0.0087005862828846,0.0086626475660978,0.0098178648509019,0.0086853069542485,0.0091996225627326,0.0088717530085205,0.0090015093174997,0.0084134991545852,0.0079078569057173,0.0090930094604573,0.0088935721059897,0.0090463959187445,0.0084892762989738
9,config_0_clsfalse_ctxfalse,500,0,0.009017969133708415,0.0104170496581446,0.0094089967685704,0.0086795056834034,0.008639880581768,0.0100717073136138,0.0077837859058718,0.0077556543529908,0.0102226656273387,0.0084804094382207,0.0093419674776669,0.0089994395762005,0.0105116908180207,0.0084967413789627,0.0103859667307233,0.0083435281403581,0.0079992529749688,0.0088483142533277,0.008475688406861,0.0088749278520481,0.0086222097351083
10,config_0_clsfalse_ctxfalse,500,0,0.009752747074971488,0.0109560570258508,0.0100144863298131,0.009080400969348,0.009390117273142,0.0101641206544324,0.0091105846402873,0.0091846674572479,0.0100959675407542,0.010007855779501,0.0098727888203029,0.0096187393895282,0.009844728789479,0.0092658582242014,0.0103745180211565,0.0097568246991007,0.0088779698914246,0.0104837729084768,0.010167166095016,0.0093621651441632,0.0094261518462038
11,config_0_clsfalse_ctxfalse,500,0,0.00930304033901539,0.0098978713886026,0.0090648769331285,0.0083540358706765,0.0089384289935878,0.0107376977017944,0.0081367457405576,0.0094843673946343,0.010052767904502,0.0089737572660245,0.0088216251853433,0.0092831905402211,0.0091760094746859,0.0088102805572513,0.0095605760725447,0.0090613116227965,0.0088443586115924,0.01025563954272,0.0094000189750052,0.0095640143337429,0.0096432326708963
12,config_0_clsfalse_ctxfalse,300,0,0.0032000871032427302,0.0028012177410232,0.0025464837274853,0.0034410566839255,0.0032923855649187,0.0035004602671809,0.0022522692187294,0.0031558900672431,0.0039431013593684,0.003409605829006,0.0035423679331643,0.0032668972020246,0.0034790780331377,0.0030720547531473,0.0034599834901882,0.0023594072377477,0.0032289345425624,0.00343840977204,0.00342295032641,0.002601239624937,0.0037879486906149
