model,config,layer,layer_mean_cosine_over_languages
xlmr,use0_use0_con0_max250_bat32,1,0.9388351213249131
xlmr,use0_use0_con0_max250_bat32,2,0.9740765266175867
xlmr,use0_use0_con0_max250_bat32,3,0.9806149789011691
xlmr,use0_use0_con0_max250_bat32,4,0.978930457073548
xlmr,use0_use0_con0_max250_bat32,5,0.9820612955279572
xlmr,use0_use0_con0_max250_bat32,6,0.9759948557308666
xlmr,use0_use0_con0_max250_bat32,7,0.9806560054652603
xlmr,use0_use0_con0_max250_bat32,8,0.9779764851013721
xlmr,use0_use0_con0_max250_bat32,9,0.9776555008313137
xlmr,use0_use0_con0_max250_bat32,10,0.9775647588770932
xlmr,use0_use0_con0_max250_bat32,11,0.9806787430078246
xlmr,use0_use0_con0_max250_bat32,12,0.998253669095182
xlmr,use0_use0_con0_max250_bat32,ALL,0.9769415331295072
xlmr,use0_use0_con0_max250_bat64,1,0.9443248291311134
xlmr,use0_use0_con0_max250_bat64,2,0.975681195185427
xlmr,use0_use0_con0_max250_bat64,3,0.9814936000098106
xlmr,use0_use0_con0_max250_bat64,4,0.9786210174120941
xlmr,use0_use0_con0_max250_bat64,5,0.9784574111118495
xlmr,use0_use0_con0_max250_bat64,6,0.9733505012315625
xlmr,use0_use0_con0_max250_bat64,7,0.9788133080099511
xlmr,use0_use0_con0_max250_bat64,8,0.9743759235483667
xlmr,use0_use0_con0_max250_bat64,9,0.9718728384126252
xlmr,use0_use0_con0_max250_bat64,10,0.9685891795910427
xlmr,use0_use0_con0_max250_bat64,11,0.9716127558092339
xlmr,use0_use0_con0_max250_bat64,12,0.9974368418301216
xlmr,use0_use0_con0_max250_bat64,ALL,0.9745524501069331
xlmr,use0_use0_con0_max500_bat32,1,0.9515018546006712
xlmr,use0_use0_con0_max500_bat32,2,0.9801401767124197
xlmr,use0_use0_con0_max500_bat32,3,0.9853646617435471
xlmr,use0_use0_con0_max500_bat32,4,0.9839737508534745
xlmr,use0_use0_con0_max500_bat32,5,0.9859215122198854
xlmr,use0_use0_con0_max500_bat32,6,0.9805421364332627
xlmr,use0_use0_con0_max500_bat32,7,0.9846915714893363
xlmr,use0_use0_con0_max500_bat32,8,0.9835017183283755
xlmr,use0_use0_con0_max500_bat32,9,0.9842584434900694
xlmr,use0_use0_con0_max500_bat32,10,0.9833842576887981
xlmr,use0_use0_con0_max500_bat32,11,0.9864976457611982
xlmr,use0_use0_con0_max500_bat32,12,0.9987569579983333
xlmr,use0_use0_con0_max500_bat32,ALL,0.9823778906099476
xlmr,use0_use0_con0_max500_bat64,1,0.9518687466321444
xlmr,use0_use0_con0_max500_bat64,2,0.9800030660570599
xlmr,use0_use0_con0_max500_bat64,3,0.9847335579979605
xlmr,use0_use0_con0_max500_bat64,4,0.9836091644511468
xlmr,use0_use0_con0_max500_bat64,5,0.9861476171095239
xlmr,use0_use0_con0_max500_bat64,6,0.9804067635781273
xlmr,use0_use0_con0_max500_bat64,7,0.9844573737951086
xlmr,use0_use0_con0_max500_bat64,8,0.9831821618554883
xlmr,use0_use0_con0_max500_bat64,9,0.9806051580119517
xlmr,use0_use0_con0_max500_bat64,10,0.9834916803134626
xlmr,use0_use0_con0_max500_bat64,11,0.9863243358302652
xlmr,use0_use0_con0_max500_bat64,12,0.9986871826197792
xlmr,use0_use0_con0_max500_bat64,ALL,0.9819597340210015
xlmr,use0_use0_con2_max250_bat32,1,0.9388351213249131
xlmr,use0_use0_con2_max250_bat32,2,0.9740765266175867
xlmr,use0_use0_con2_max250_bat32,3,0.9806149789011691
xlmr,use0_use0_con2_max250_bat32,4,0.978930457073548
xlmr,use0_use0_con2_max250_bat32,5,0.9820612955279572
xlmr,use0_use0_con2_max250_bat32,6,0.9759948557308666
xlmr,use0_use0_con2_max250_bat32,7,0.9806560054652603
xlmr,use0_use0_con2_max250_bat32,8,0.9779764851013721
xlmr,use0_use0_con2_max250_bat32,9,0.9776555008313137
xlmr,use0_use0_con2_max250_bat32,10,0.9775647588770932
xlmr,use0_use0_con2_max250_bat32,11,0.9806787430078246
xlmr,use0_use0_con2_max250_bat32,12,0.998253669095182
xlmr,use0_use0_con2_max250_bat32,ALL,0.9769415331295072
xlmr,use0_use0_con2_max250_bat64,1,0.9443248291311134
xlmr,use0_use0_con2_max250_bat64,2,0.975681195185427
xlmr,use0_use0_con2_max250_bat64,3,0.9814936000098106
xlmr,use0_use0_con2_max250_bat64,4,0.9786210174120941
xlmr,use0_use0_con2_max250_bat64,5,0.9784574111118495
xlmr,use0_use0_con2_max250_bat64,6,0.9733505012315625
xlmr,use0_use0_con2_max250_bat64,7,0.9788133080099511
xlmr,use0_use0_con2_max250_bat64,8,0.9743759235483667
xlmr,use0_use0_con2_max250_bat64,9,0.9718728384126252
xlmr,use0_use0_con2_max250_bat64,10,0.9685891795910427
xlmr,use0_use0_con2_max250_bat64,11,0.9716127558092339
xlmr,use0_use0_con2_max250_bat64,12,0.9974368418301216
xlmr,use0_use0_con2_max250_bat64,ALL,0.9745524501069331
xlmr,use0_use0_con2_max500_bat32,1,0.9515018546006712
xlmr,use0_use0_con2_max500_bat32,2,0.9801401767124197
xlmr,use0_use0_con2_max500_bat32,3,0.9853646617435471
xlmr,use0_use0_con2_max500_bat32,4,0.9839737508534745
xlmr,use0_use0_con2_max500_bat32,5,0.9859215122198854
xlmr,use0_use0_con2_max500_bat32,6,0.9805421364332627
xlmr,use0_use0_con2_max500_bat32,7,0.9846915714893363
xlmr,use0_use0_con2_max500_bat32,8,0.9835017183283755
xlmr,use0_use0_con2_max500_bat32,9,0.9842584434900694
xlmr,use0_use0_con2_max500_bat32,10,0.9833842576887981
xlmr,use0_use0_con2_max500_bat32,11,0.9864976457611982
xlmr,use0_use0_con2_max500_bat32,12,0.9987569579983333
xlmr,use0_use0_con2_max500_bat32,ALL,0.9823778906099476
xlmr,use0_use0_con2_max500_bat64,1,0.9518687466321444
xlmr,use0_use0_con2_max500_bat64,2,0.9800030660570599
xlmr,use0_use0_con2_max500_bat64,3,0.9847335579979605
xlmr,use0_use0_con2_max500_bat64,4,0.9836091644511468
xlmr,use0_use0_con2_max500_bat64,5,0.9861476171095239
xlmr,use0_use0_con2_max500_bat64,6,0.9804067635781273
xlmr,use0_use0_con2_max500_bat64,7,0.9844573737951086
xlmr,use0_use0_con2_max500_bat64,8,0.9831821618554883
xlmr,use0_use0_con2_max500_bat64,9,0.9806051580119517
xlmr,use0_use0_con2_max500_bat64,10,0.9834916803134626
xlmr,use0_use0_con2_max500_bat64,11,0.9863243358302652
xlmr,use0_use0_con2_max500_bat64,12,0.9986871826197792
xlmr,use0_use0_con2_max500_bat64,ALL,0.9819597340210015
xlmr,use0_use0_con4_max250_bat32,1,0.9388351213249131
xlmr,use0_use0_con4_max250_bat32,2,0.9740765266175867
xlmr,use0_use0_con4_max250_bat32,3,0.9806149789011691
xlmr,use0_use0_con4_max250_bat32,4,0.978930457073548
xlmr,use0_use0_con4_max250_bat32,5,0.9820612955279572
xlmr,use0_use0_con4_max250_bat32,6,0.9759948557308666
xlmr,use0_use0_con4_max250_bat32,7,0.9806560054652603
xlmr,use0_use0_con4_max250_bat32,8,0.9779764851013721
xlmr,use0_use0_con4_max250_bat32,9,0.9776555008313137
xlmr,use0_use0_con4_max250_bat32,10,0.9775647588770932
xlmr,use0_use0_con4_max250_bat32,11,0.9806787430078246
xlmr,use0_use0_con4_max250_bat32,12,0.998253669095182
xlmr,use0_use0_con4_max250_bat32,ALL,0.9769415331295072
xlmr,use0_use0_con4_max250_bat64,1,0.9443248291311134
xlmr,use0_use0_con4_max250_bat64,2,0.975681195185427
xlmr,use0_use0_con4_max250_bat64,3,0.9814936000098106
xlmr,use0_use0_con4_max250_bat64,4,0.9786210174120941
xlmr,use0_use0_con4_max250_bat64,5,0.9784574111118495
xlmr,use0_use0_con4_max250_bat64,6,0.9733505012315625
xlmr,use0_use0_con4_max250_bat64,7,0.9788133080099511
xlmr,use0_use0_con4_max250_bat64,8,0.9743759235483667
xlmr,use0_use0_con4_max250_bat64,9,0.9718728384126252
xlmr,use0_use0_con4_max250_bat64,10,0.9685891795910427
xlmr,use0_use0_con4_max250_bat64,11,0.9716127558092339
xlmr,use0_use0_con4_max250_bat64,12,0.9974368418301216
xlmr,use0_use0_con4_max250_bat64,ALL,0.9745524501069331
xlmr,use0_use0_con4_max500_bat32,1,0.9515018546006712
xlmr,use0_use0_con4_max500_bat32,2,0.9801401767124197
xlmr,use0_use0_con4_max500_bat32,3,0.9853646617435471
xlmr,use0_use0_con4_max500_bat32,4,0.9839737508534745
xlmr,use0_use0_con4_max500_bat32,5,0.9859215122198854
xlmr,use0_use0_con4_max500_bat32,6,0.9805421364332627
xlmr,use0_use0_con4_max500_bat32,7,0.9846915714893363
xlmr,use0_use0_con4_max500_bat32,8,0.9835017183283755
xlmr,use0_use0_con4_max500_bat32,9,0.9842584434900694
xlmr,use0_use0_con4_max500_bat32,10,0.9833842576887981
xlmr,use0_use0_con4_max500_bat32,11,0.9864976457611982
xlmr,use0_use0_con4_max500_bat32,12,0.9987569579983333
xlmr,use0_use0_con4_max500_bat32,ALL,0.9823778906099476
xlmr,use0_use0_con4_max500_bat64,1,0.9518687466321444
xlmr,use0_use0_con4_max500_bat64,2,0.9800030660570599
xlmr,use0_use0_con4_max500_bat64,3,0.9847335579979605
xlmr,use0_use0_con4_max500_bat64,4,0.9836091644511468
xlmr,use0_use0_con4_max500_bat64,5,0.9861476171095239
xlmr,use0_use0_con4_max500_bat64,6,0.9804067635781273
xlmr,use0_use0_con4_max500_bat64,7,0.9844573737951086
xlmr,use0_use0_con4_max500_bat64,8,0.9831821618554883
xlmr,use0_use0_con4_max500_bat64,9,0.9806051580119517
xlmr,use0_use0_con4_max500_bat64,10,0.9834916803134626
xlmr,use0_use0_con4_max500_bat64,11,0.9863243358302652
xlmr,use0_use0_con4_max500_bat64,12,0.9986871826197792
xlmr,use0_use0_con4_max500_bat64,ALL,0.9819597340210015
xlmr,use0_use1_con0_max250_bat32,1,0.9388351213249131
xlmr,use0_use1_con0_max250_bat32,2,0.9740765266175867
xlmr,use0_use1_con0_max250_bat32,3,0.9806149789011691
xlmr,use0_use1_con0_max250_bat32,4,0.978930457073548
xlmr,use0_use1_con0_max250_bat32,5,0.9820612955279572
xlmr,use0_use1_con0_max250_bat32,6,0.9759948557308666
xlmr,use0_use1_con0_max250_bat32,7,0.9806560054652603
xlmr,use0_use1_con0_max250_bat32,8,0.9779764851013721
xlmr,use0_use1_con0_max250_bat32,9,0.9776555008313137
xlmr,use0_use1_con0_max250_bat32,10,0.9775647588770932
xlmr,use0_use1_con0_max250_bat32,11,0.9806787430078246
xlmr,use0_use1_con0_max250_bat32,12,0.998253669095182
xlmr,use0_use1_con0_max250_bat32,ALL,0.9769415331295072
xlmr,use0_use1_con0_max250_bat64,1,0.9443248291311134
xlmr,use0_use1_con0_max250_bat64,2,0.975681195185427
xlmr,use0_use1_con0_max250_bat64,3,0.9814936000098106
xlmr,use0_use1_con0_max250_bat64,4,0.9786210174120941
xlmr,use0_use1_con0_max250_bat64,5,0.9784574111118495
xlmr,use0_use1_con0_max250_bat64,6,0.9733505012315625
xlmr,use0_use1_con0_max250_bat64,7,0.9788133080099511
xlmr,use0_use1_con0_max250_bat64,8,0.9743759235483667
xlmr,use0_use1_con0_max250_bat64,9,0.9718728384126252
xlmr,use0_use1_con0_max250_bat64,10,0.9685891795910427
xlmr,use0_use1_con0_max250_bat64,11,0.9716127558092339
xlmr,use0_use1_con0_max250_bat64,12,0.9974368418301216
xlmr,use0_use1_con0_max250_bat64,ALL,0.9745524501069331
xlmr,use0_use1_con0_max500_bat32,1,0.9515018546006712
xlmr,use0_use1_con0_max500_bat32,2,0.9801401767124197
xlmr,use0_use1_con0_max500_bat32,3,0.9853646617435471
xlmr,use0_use1_con0_max500_bat32,4,0.9839737508534745
xlmr,use0_use1_con0_max500_bat32,5,0.9859215122198854
xlmr,use0_use1_con0_max500_bat32,6,0.9805421364332627
xlmr,use0_use1_con0_max500_bat32,7,0.9846915714893363
xlmr,use0_use1_con0_max500_bat32,8,0.9835017183283755
xlmr,use0_use1_con0_max500_bat32,9,0.9842584434900694
xlmr,use0_use1_con0_max500_bat32,10,0.9833842576887981
xlmr,use0_use1_con0_max500_bat32,11,0.9864976457611982
xlmr,use0_use1_con0_max500_bat32,12,0.9987569579983333
xlmr,use0_use1_con0_max500_bat32,ALL,0.9823778906099476
xlmr,use0_use1_con0_max500_bat64,1,0.9518687466321444
xlmr,use0_use1_con0_max500_bat64,2,0.9800030660570599
xlmr,use0_use1_con0_max500_bat64,3,0.9847335579979605
xlmr,use0_use1_con0_max500_bat64,4,0.9836091644511468
xlmr,use0_use1_con0_max500_bat64,5,0.9861476171095239
xlmr,use0_use1_con0_max500_bat64,6,0.9804067635781273
xlmr,use0_use1_con0_max500_bat64,7,0.9844573737951086
xlmr,use0_use1_con0_max500_bat64,8,0.9831821618554883
xlmr,use0_use1_con0_max500_bat64,9,0.9806051580119517
xlmr,use0_use1_con0_max500_bat64,10,0.9834916803134626
xlmr,use0_use1_con0_max500_bat64,11,0.9863243358302652
xlmr,use0_use1_con0_max500_bat64,12,0.9986871826197792
xlmr,use0_use1_con0_max500_bat64,ALL,0.9819597340210015
xlmr,use0_use1_con2_max250_bat32,1,0.8662231680306789
xlmr,use0_use1_con2_max250_bat32,2,0.9480637086212805
xlmr,use0_use1_con2_max250_bat32,3,0.9644706079625817
xlmr,use0_use1_con2_max250_bat32,4,0.960456092247141
xlmr,use0_use1_con2_max250_bat32,5,0.9621141636250863
xlmr,use0_use1_con2_max250_bat32,6,0.9546584235312787
xlmr,use0_use1_con2_max250_bat32,7,0.9635534744924568
xlmr,use0_use1_con2_max250_bat32,8,0.9610558733537464
xlmr,use0_use1_con2_max250_bat32,9,0.9587837377834736
xlmr,use0_use1_con2_max250_bat32,10,0.9666613655317505
xlmr,use0_use1_con2_max250_bat32,11,0.9705127466425347
xlmr,use0_use1_con2_max250_bat32,12,0.9972476836196064
xlmr,use0_use1_con2_max250_bat32,ALL,0.9561500871201347
xlmr,use0_use1_con2_max250_bat64,1,0.8780284522589792
xlmr,use0_use1_con2_max250_bat64,2,0.9521003656825939
xlmr,use0_use1_con2_max250_bat64,3,0.9664147292968129
xlmr,use0_use1_con2_max250_bat64,4,0.9609257684198242
xlmr,use0_use1_con2_max250_bat64,5,0.9518535713889659
xlmr,use0_use1_con2_max250_bat64,6,0.9543319456448339
xlmr,use0_use1_con2_max250_bat64,7,0.9633728748138755
xlmr,use0_use1_con2_max250_bat64,8,0.9596020240248306
xlmr,use0_use1_con2_max250_bat64,9,0.9562484771553603
xlmr,use0_use1_con2_max250_bat64,10,0.954910240483453
xlmr,use0_use1_con2_max250_bat64,11,0.9591344797942123
xlmr,use0_use1_con2_max250_bat64,12,0.9964704738353882
xlmr,use0_use1_con2_max250_bat64,ALL,0.9544494502332608
xlmr,use0_use1_con2_max500_bat32,1,0.8954187483058881
