,DATE,LOC,PER,ORG
bam,0.9771190285682678,0.9639214873313904,0.9930548667907715,0.9779245853424072
bbj,0.9578320384025574,0.9296503663063049,0.9882156252861023,0.9834352731704712
ewe,0.9284465312957764,0.9868056774139404,0.9818562865257263,0.988328218460083
fon,0.9714962244033813,0.9335289001464844,0.9758826494216919,0.9887323379516602
hau,0.9859490990638733,0.9463085532188416,0.9895924925804138,0.9845808744430542
ibo,0.9860187768936157,0.9434541463851929,0.9942850470542908,0.9885450005531311
kin,0.9670704007148743,0.9915764927864075,0.9883350729942322,0.9929844737052917
lug,0.9459415674209595,0.9941472411155701,0.9844809770584106,0.9898399710655212
luo,0.9790547490119934,0.9900820851325989,0.9874728918075562,0.9899524450302124
mos,0.929486870765686,0.9444962739944458,0.9877660870552063,0.9885176420211792
nya,0.9682302474975586,0.9402478933334351,0.9970658421516418,0.9897531270980835
pcm,0.8842443227767944,0.9937442541122437,0.9953777194023132,0.980498731136322
sna,0.9846645593643188,0.965596616268158,0.9927101731300354,0.9759942293167114
swa,0.953823447227478,0.9948155879974365,0.990018367767334,0.9795726537704468
tsn,0.9806914329528809,0.9861257076263428,0.9911489486694336,0.9848495721817017
twi,0.9720419049263,0.9952638149261475,0.9952589273452759,0.9939879775047302
wol,0.9621160626411438,0.9536702036857605,0.9913859963417053,0.9851306676864624
xho,0.9821447134017944,0.9580760598182678,0.9608083963394165,0.9832261204719543
yor,0.9507432579994202,0.9221160411834717,0.9625098705291748,0.9858797192573547
zul,0.9831505417823792,0.9744890332221985,0.9741028547286987,0.9880185127258301
