,ORG,PER,DATE,LOC,Mean
lug,0.9755649,0.9885242,0.8778112,0.98802376,0.957481
luo,0.97474337,0.98192066,0.88775504,0.94181764,0.9465592
kin,0.9680424,0.966548,0.91231894,0.93430406,0.9453033
ibo,0.9678173,0.96890503,0.9234084,0.88667643,0.9367018
twi,0.97538203,0.97169197,0.87391806,0.91948134,0.9351183
swa,0.97157884,0.9629008,0.8468609,0.94069326,0.9305085
tsn,0.9650455,0.9679793,0.89429396,0.8468734,0.9185481
nya,0.97525954,0.97289145,0.86439073,0.8540834,0.91665626
sna,0.953255,0.92150533,0.93430793,0.8236854,0.9081884
bam,0.9141856,0.9611818,0.8437706,0.89182687,0.90274125
ewe,0.95653915,0.9710626,0.7384616,0.9344952,0.90013963
fon,0.9563008,0.9569294,0.84333235,0.83621895,0.8981954
wol,0.95128095,0.95853126,0.8876524,0.7900288,0.89687335
hau,0.93601775,0.9633605,0.90789807,0.77270705,0.8949958
zul,0.9421071,0.9212891,0.8838489,0.82611394,0.89333975
pcm,0.9579329,0.97958755,0.6843029,0.91267014,0.88362336
xho,0.887062,0.94726706,0.9527194,0.7464187,0.8833668
mos,0.95580125,0.96831137,0.7765484,0.8044871,0.876287
bbj,0.8932968,0.96392125,0.77176225,0.7066784,0.83391464
yor,0.825677,0.83257496,0.82724774,0.6706991,0.78904974
