,PER,LOC,DATE,ORG
bam,,0.9675648808479309,,0.9533536434173584
bbj,0.9699466228485107,0.9361226558685303,,0.9729704856872559
ewe,0.9789508581161499,,,0.9792747497558594
fon,0.9796537160873413,0.9592038989067078,,0.9761967658996582
hau,0.9787901639938354,0.9444624185562134,,0.9716046452522278
ibo,,0.9573917388916016,,0.9801113605499268
kin,0.9807748794555664,0.969868004322052,,0.9815654158592224
lug,0.980803370475769,,,0.9693651795387268
luo,0.9806824922561646,,,0.9691382050514221
mos,0.9849411249160767,0.9598634243011475,,0.9805933833122253
nya,0.9897221326828003,0.97430819272995,,0.9801312685012817
pcm,0.9830648899078369,0.9533563852310181,,0.9437966346740723
sna,0.9817965030670166,0.9679699540138245,,0.980553150177002
swa,0.9763196706771851,0.9442429542541504,,0.9614056944847107
tsn,,0.9622852802276611,,0.9802088737487793
twi,0.987169086933136,0.9694690704345703,,0.9838024973869324
wol,0.9865760207176208,0.9635711312294006,,0.9733618497848511
xho,0.9668062329292297,0.9533889889717102,,
yor,,0.9376198053359985,,0.9763480424880981
zul,0.9800465106964111,0.9556997418403625,,
