,ORG,LOC,PER,DATE,Mean
kin,0.58430135,0.55057585,0.38568985,0.58094144,0.52537715
lug,0.5971072,0.54390794,0.38367957,0.5659001,0.5226487
sna,0.5695685,0.5341908,0.33686358,0.5889245,0.5073868
xho,0.5569126,0.5198706,0.35309535,0.59836787,0.5070616
nya,0.5835912,0.49538216,0.37731886,0.54341865,0.49992773
luo,0.54333675,0.5273239,0.37645602,0.51724136,0.4910895
zul,0.54325384,0.4959894,0.3728608,0.5219172,0.4835053
twi,0.55335844,0.5069555,0.35939142,0.5093742,0.48226988
wol,0.5365032,0.49375093,0.37080428,0.5117325,0.47819775
tsn,0.54871166,0.4605921,0.3645908,0.5337655,0.476915
swa,0.5309791,0.4793429,0.3769916,0.5108718,0.47454637
ibo,0.5010983,0.52511793,0.3394918,0.52695346,0.4731654
hau,0.5169593,0.4718516,0.36257517,0.526937,0.46958077
bam,0.4851026,0.5016142,0.32966962,0.49681538,0.45330048
ewe,0.5036251,0.45747226,0.3262316,0.46133566,0.43716615
pcm,0.5115927,0.46325916,0.36401695,0.40155023,0.4351048
mos,0.5169462,0.44862634,0.3217378,0.42820162,0.428878
fon,0.49597397,0.44105452,0.32715765,0.41540912,0.4198988
bbj,0.43171135,0.39475185,0.33759394,0.42083564,0.3962232
yor,0.41613495,0.4038155,0.31075695,0.4412617,0.39299226
