Language,Cosine_Similarity
xho,0.97714317
kin,0.97608757
zul,0.97588277
lug,0.97396564
nya,0.9717906
sna,0.971272
swa,0.95180815
hau,0.9434047
luo,0.9405813
ibo,0.9393215
tsn,0.9293699
ewe,0.92891985
twi,0.9252529
wol,0.9188887
bam,0.9173198
mos,0.91610754
bbj,0.89108217
fon,0.89073914
pcm,0.8847238
yor,0.8838515
