,DATE,ORG,LOC,PER,Mean
lug,0.9534492,0.9864929,0.98750615,0.9974873,0.9812339
kin,0.9735328,0.9852512,0.9477128,0.9883197,0.9737041
twi,0.9641931,0.9903829,0.94667184,0.9934546,0.9736756
luo,0.9756994,0.990646,0.9349428,0.98773444,0.9722557
swa,0.9638682,0.98597836,0.94577515,0.9875518,0.97079337
ibo,0.9819729,0.98390484,0.905121,0.9931507,0.9660374
ewe,0.9250658,0.9797574,0.9241042,0.9895267,0.95461357
tsn,0.97212595,0.9857597,0.8644634,0.9843095,0.9516646
nya,0.95132816,0.9872848,0.8859279,0.9811411,0.9514205
sna,0.9870549,0.9869825,0.83985615,0.9888609,0.9506886
bam,0.9604068,0.9518492,0.8797341,0.99200785,0.9459995
zul,0.9793981,0.9663409,0.8370339,0.98126656,0.9410099
fon,0.95312953,0.97432375,0.84047943,0.9910567,0.93974733
hau,0.98258746,0.9662391,0.81876385,0.99064624,0.9395592
pcm,0.8189081,0.9833143,0.94017094,0.9960046,0.93459946
wol,0.9688994,0.9614641,0.8013344,0.9898411,0.93038476
xho,0.9926721,0.9470314,0.7863136,0.986835,0.928213
mos,0.92276096,0.9632959,0.83464384,0.98965317,0.92758846
bbj,0.91318697,0.9526696,0.7789123,0.9916632,0.90910804
yor,0.949227,0.94148314,0.7602844,0.9375236,0.89712954
