,PER,ORG,LOC,DATE
bam,0.9999995231628418,0.999999463558197,0.9999994039535522,0.999999463558197
bbj,0.9999994039535522,0.9999992251396179,0.9999991655349731,0.9999990463256836
ewe,0.9999998211860657,0.9999997019767761,0.9999995827674866,0.999999463558197
fon,0.9999992847442627,0.999999463558197,0.999999463558197,0.9999989867210388
hau,0.9999996423721313,0.999999463558197,0.9999995827674866,0.9999992847442627
ibo,0.9999997615814209,0.999999463558197,0.9999996423721313,0.9999995827674866
kin,0.9999995827674866,0.9999997019767761,0.9999997019767761,0.9999995827674866
lug,0.9999999403953552,0.9999998211860657,0.9999997019767761,0.9999997019767761
luo,0.9999995827674866,0.999999463558197,0.9999997615814209,0.9999996423721313
mos,0.9999995827674866,0.9999994039535522,0.9999993443489075,0.9999988675117493
nya,0.9999997615814209,0.9999997019767761,0.9999995827674866,0.9999996423721313
pcm,0.9999995231628418,0.9999991655349731,0.9999992251396179,0.9999988675117493
sna,0.9999997019767761,0.9999997019767761,0.9999996423721313,0.9999994039535522
swa,0.9999995827674866,0.9999993443489075,0.9999992251396179,0.9999992251396179
tsn,0.9999998807907104,0.9999997019767761,0.999999463558197,0.9999995231628418
twi,0.9999996423721313,0.9999997615814209,0.9999997615814209,0.9999995827674866
wol,0.9999994039535522,0.9999994039535522,0.9999992847442627,0.9999993443489075
xho,0.9999996423721313,0.9999995827674866,0.9999995827674866,0.9999995827674866
yor,0.9999992251396179,0.9999994039535522,0.9999991655349731,0.9999992251396179
zul,0.9999997019767761,0.9999995231628418,0.999999463558197,0.999999463558197
