,ORG,LOC,PER,DATE
bam,0.9427908658981323,0.9622841477394104,,
bbj,0.922447681427002,0.8716017603874207,,
ewe,0.9551037549972534,,0.9352480173110962,
fon,0.9305770397186279,0.9521307349205017,0.922742486000061,
hau,0.9751165509223938,0.9788771867752075,0.9474024176597595,
ibo,0.9583345651626587,0.977118968963623,,
kin,0.9749875664710999,0.9849910140037537,0.9617753028869629,
lug,0.988423764705658,,0.9589805603027344,
luo,0.9615408778190613,,0.9576583504676819,
mos,0.9612455368041992,,0.9370247721672058,
nya,0.9799929261207581,0.9879878163337708,0.966164231300354,
pcm,,0.9316959381103516,0.9170597195625305,
sna,0.9755584001541138,0.9785686731338501,0.9545090198516846,
swa,0.9507669806480408,0.9640107154846191,0.9598110318183899,
tsn,0.9722698330879211,0.9804447889328003,,
twi,0.9718742370605469,0.969620406627655,0.9303406476974487,
wol,0.9699769616127014,0.9750966429710388,0.9593263864517212,
xho,,0.9808493256568909,0.9472732543945312,
yor,0.9418785572052002,0.9491776823997498,,
zul,,0.974821150302887,0.9638391137123108,
