,PER,ORG,LOC,DATE,Mean
lug,0.98051554,0.95535976,0.91853297,0.9095103,0.94097966
kin,0.9532869,0.9494488,0.91779935,0.91366047,0.9335489
sna,0.877875,0.9237946,0.8918704,0.92084527,0.90359634
luo,0.9662744,0.9122591,0.886356,0.84912515,0.90350366
nya,0.9612361,0.93834674,0.8396766,0.873606,0.90321636
xho,0.8861001,0.91774225,0.8728814,0.92927164,0.90149885
twi,0.95376784,0.916428,0.8610956,0.8340026,0.89132357
ibo,0.93406105,0.8606772,0.87877685,0.8726317,0.8865367
tsn,0.9457931,0.90721405,0.80558646,0.8611431,0.8799342
zul,0.9027059,0.9014715,0.85362554,0.8553745,0.8782944
wol,0.928728,0.9034739,0.84819746,0.8327403,0.87828493
swa,0.95425445,0.8701303,0.82669234,0.83278775,0.8709662
hau,0.91529083,0.87328136,0.8070431,0.859022,0.8636594
bam,0.906751,0.83118296,0.85582674,0.8176184,0.8528447
ewe,0.9112413,0.86181045,0.80098164,0.749332,0.8308413
mos,0.90312546,0.883,0.7808637,0.7400229,0.826753
pcm,0.9507309,0.8621979,0.80230725,0.65721637,0.8181131
fon,0.8845458,0.8561915,0.7753286,0.7039818,0.8050119
bbj,0.88090587,0.75151503,0.6912705,0.7010478,0.7561848
yor,0.7820821,0.7222794,0.7048483,0.74720544,0.73910385
