layer,model,rank_type,language,swd_mean
1,afroxlmr,top5,kin,0.009198584659770859
1,afroxlmr,top5,lug,0.009289565176686665
1,afroxlmr,top5,twi,0.009557586583810007
1,afroxlmr,top5,ibo,0.009638788873644444
1,afroxlmr,top5,tsn,0.009874921694745353
1,afroxlmr,worst5,yor,0.012336322547753298
1,afroxlmr,worst5,hau,0.012005871190467587
1,afroxlmr,worst5,fon,0.011966655300284401
1,afroxlmr,worst5,bam,0.011829401160184716
1,afroxlmr,worst5,bbj,0.011735862816635745
2,afroxlmr,top5,lug,0.006261368077502993
2,afroxlmr,top5,twi,0.0064262913944048705
2,afroxlmr,top5,kin,0.006517982124023547
2,afroxlmr,top5,wol,0.006629816573763492
2,afroxlmr,top5,nya,0.006639087198664129
2,afroxlmr,worst5,pcm,0.008759292622244175
2,afroxlmr,worst5,hau,0.008269897431205209
2,afroxlmr,worst5,mos,0.008148910716840874
2,afroxlmr,worst5,yor,0.008132016360377747
2,afroxlmr,worst5,bam,0.008015699806492194
3,afroxlmr,top5,twi,0.005794906247729159
3,afroxlmr,top5,luo,0.006081263654323266
3,afroxlmr,top5,ibo,0.006094258960160914
3,afroxlmr,top5,kin,0.006255212435348767
3,afroxlmr,top5,zul,0.006275043417758752
3,afroxlmr,worst5,pcm,0.007838075859694982
3,afroxlmr,worst5,yor,0.00782132601682406
3,afroxlmr,worst5,hau,0.007513083641697449
3,afroxlmr,worst5,swa,0.007511463066975921
3,afroxlmr,worst5,bam,0.007490745708992108
4,afroxlmr,top5,twi,0.00650695150784486
4,afroxlmr,top5,tsn,0.006711349265628996
4,afroxlmr,top5,luo,0.006803968891972545
4,afroxlmr,top5,kin,0.006933938451425092
4,afroxlmr,top5,ibo,0.0071817368648225965
4,afroxlmr,worst5,yor,0.00879509927892741
4,afroxlmr,worst5,bbj,0.00849087588335351
4,afroxlmr,worst5,pcm,0.008467005136708394
4,afroxlmr,worst5,xho,0.008421327315204508
4,afroxlmr,worst5,swa,0.008392251069153644
5,afroxlmr,top5,twi,0.006496500242178627
5,afroxlmr,top5,luo,0.006553288255190637
5,afroxlmr,top5,tsn,0.006644451961165032
5,afroxlmr,top5,zul,0.007152639065566291
5,afroxlmr,top5,ewe,0.007262036734687172
5,afroxlmr,worst5,bam,0.0086240296914184
5,afroxlmr,worst5,yor,0.008444774743679773
5,afroxlmr,worst5,bbj,0.008430102413967688
5,afroxlmr,worst5,hau,0.008350086820314573
