model,config,layer,layer_mean_cosine_over_languages
mbert,use0_use1_con2_max250_bat32,12,0.7452187428042429
mbert,use0_use1_con2_max250_bat32,ALL,0.8707419647083618
mbert,use0_use1_con2_max250_bat64,1,0.7659092406341323
mbert,use0_use1_con2_max250_bat64,2,0.7825456579544413
mbert,use0_use1_con2_max250_bat64,3,0.8640584742193888
mbert,use0_use1_con2_max250_bat64,4,0.8859102071803197
mbert,use0_use1_con2_max250_bat64,5,0.9010930093452989
mbert,use0_use1_con2_max250_bat64,6,0.9319712355220624
mbert,use0_use1_con2_max250_bat64,7,0.9024154970985165
mbert,use0_use1_con2_max250_bat64,8,0.8828858887725195
mbert,use0_use1_con2_max250_bat64,9,0.8930849362514313
mbert,use0_use1_con2_max250_bat64,10,0.9135939704025662
mbert,use0_use1_con2_max250_bat64,11,0.9230418325401267
mbert,use0_use1_con2_max250_bat64,12,0.6689918868247327
mbert,use0_use1_con2_max250_bat64,ALL,0.8596251530621281
mbert,use0_use1_con2_max500_bat32,1,0.7825451663364252
mbert,use0_use1_con2_max500_bat32,2,0.8071920558901196
mbert,use0_use1_con2_max500_bat32,3,0.8826712842716177
mbert,use0_use1_con2_max500_bat32,4,0.9061660115797873
mbert,use0_use1_con2_max500_bat32,5,0.9309213602439664
mbert,use0_use1_con2_max500_bat32,6,0.9436469055114488
mbert,use0_use1_con2_max500_bat32,7,0.9176070716330008
mbert,use0_use1_con2_max500_bat32,8,0.9066214002679966
mbert,use0_use1_con2_max500_bat32,9,0.9341542947336642
mbert,use0_use1_con2_max500_bat32,10,0.9494321873511609
mbert,use0_use1_con2_max500_bat32,11,0.9562788533027142
mbert,use0_use1_con2_max500_bat32,12,0.7948291798192787
mbert,use0_use1_con2_max500_bat32,ALL,0.8926721475784318
mbert,use0_use1_con2_max500_bat64,1,0.7871278357730718
mbert,use0_use1_con2_max500_bat64,2,0.8107840103546675
mbert,use0_use1_con2_max500_bat64,3,0.8802565287168148
mbert,use0_use1_con2_max500_bat64,4,0.9056059451232852
mbert,use0_use1_con2_max500_bat64,5,0.9312212430076808
mbert,use0_use1_con2_max500_bat64,6,0.9437435795148691
mbert,use0_use1_con2_max500_bat64,7,0.9183389099942726
mbert,use0_use1_con2_max500_bat64,8,0.9068500364799179
mbert,use0_use1_con2_max500_bat64,9,0.9181067001828668
mbert,use0_use1_con2_max500_bat64,10,0.9506064260245279
mbert,use0_use1_con2_max500_bat64,11,0.9578573336953082
mbert,use0_use1_con2_max500_bat64,12,0.7919004809823147
mbert,use0_use1_con2_max500_bat64,ALL,0.8918665858207998
mbert,use0_use1_con4_max250_bat32,1,0.728696205159452
mbert,use0_use1_con4_max250_bat32,2,0.7532263100738992
mbert,use0_use1_con4_max250_bat32,3,0.8458206040568985
mbert,use0_use1_con4_max250_bat32,4,0.874015265576529
mbert,use0_use1_con4_max250_bat32,5,0.9106027410052734
mbert,use0_use1_con4_max250_bat32,6,0.9315947166369998
mbert,use0_use1_con4_max250_bat32,7,0.8999871529151573
mbert,use0_use1_con4_max250_bat32,8,0.878047754204332
mbert,use0_use1_con4_max250_bat32,9,0.9062841940672456
mbert,use0_use1_con4_max250_bat32,10,0.9318607350304543
mbert,use0_use1_con4_max250_bat32,11,0.9396820574827027
mbert,use0_use1_con4_max250_bat32,12,0.7344643173022843
mbert,use0_use1_con4_max250_bat32,ALL,0.8611901711259357
mbert,use0_use1_con4_max250_bat64,1,0.7519493498186317
mbert,use0_use1_con4_max250_bat64,2,0.7680056802766617
mbert,use0_use1_con4_max250_bat64,3,0.8530740305359084
mbert,use0_use1_con4_max250_bat64,4,0.8763433335087573
mbert,use0_use1_con4_max250_bat64,5,0.8922130640432295
mbert,use0_use1_con4_max250_bat64,6,0.9291266554234342
mbert,use0_use1_con4_max250_bat64,7,0.8972332439044534
mbert,use0_use1_con4_max250_bat64,8,0.8695593707817452
mbert,use0_use1_con4_max250_bat64,9,0.8780525840069734
mbert,use0_use1_con4_max250_bat64,10,0.8963945548715684
mbert,use0_use1_con4_max250_bat64,11,0.9071831269271765
mbert,use0_use1_con4_max250_bat64,12,0.6561652419051911
mbert,use0_use1_con4_max250_bat64,ALL,0.8479416863336442
mbert,use0_use1_con4_max500_bat32,1,0.7689414896087181
mbert,use0_use1_con4_max500_bat32,2,0.7929049670447113
mbert,use0_use1_con4_max500_bat32,3,0.872254286943208
mbert,use0_use1_con4_max500_bat32,4,0.8973015898946379
mbert,use0_use1_con4_max500_bat32,5,0.9256642381921907
mbert,use0_use1_con4_max500_bat32,6,0.9409026759589201
mbert,use0_use1_con4_max500_bat32,7,0.9132893044482412
mbert,use0_use1_con4_max500_bat32,8,0.8991357047317752
mbert,use0_use1_con4_max500_bat32,9,0.9273622118148726
mbert,use0_use1_con4_max500_bat32,10,0.9434479814801516
mbert,use0_use1_con4_max500_bat32,11,0.9510446233511338
mbert,use0_use1_con4_max500_bat32,12,0.7852264135995639
mbert,use0_use1_con4_max500_bat32,ALL,0.8847896239223436
mbert,use0_use1_con4_max500_bat64,1,0.7739124438075139
mbert,use0_use1_con4_max500_bat64,2,0.7967795627080585
mbert,use0_use1_con4_max500_bat64,3,0.8684478726582036
mbert,use0_use1_con4_max500_bat64,4,0.8956895174533118
mbert,use0_use1_con4_max500_bat64,5,0.9251115334236362
mbert,use0_use1_con4_max500_bat64,6,0.9408021083261078
mbert,use0_use1_con4_max500_bat64,7,0.9131160412925562
mbert,use0_use1_con4_max500_bat64,8,0.8985488204603518
mbert,use0_use1_con4_max500_bat64,9,0.9076072734058084
mbert,use0_use1_con4_max500_bat64,10,0.9442418865932443
mbert,use0_use1_con4_max500_bat64,11,0.9520976155525943
mbert,use0_use1_con4_max500_bat64,12,0.7833542734981349
mbert,use0_use1_con4_max500_bat64,ALL,0.8833090790982935
mbert,use1_use0_con0_max250_bat32,1,0.9983270534987831
mbert,use1_use0_con0_max250_bat32,2,0.999720383596008
mbert,use1_use0_con0_max250_bat32,3,0.9999455204956611
mbert,use1_use0_con0_max250_bat32,4,0.9998797143992209
mbert,use1_use0_con0_max250_bat32,5,0.9939248792702386
mbert,use1_use0_con0_max250_bat32,6,0.9858786017853687
mbert,use1_use0_con0_max250_bat32,7,0.9789994238825818
mbert,use1_use0_con0_max250_bat32,8,0.9677060629080014
mbert,use1_use0_con0_max250_bat32,9,0.9713464058686201
mbert,use1_use0_con0_max250_bat32,10,0.9727278588793304
mbert,use1_use0_con0_max250_bat32,11,0.9737218154690737
mbert,use1_use0_con0_max250_bat32,12,0.9120294579299137
mbert,use1_use0_con0_max250_bat32,ALL,0.9795172648319
mbert,use1_use0_con0_max250_bat64,1,0.9985011862781956
mbert,use1_use0_con0_max250_bat64,2,0.9997491250819968
mbert,use1_use0_con0_max250_bat64,3,0.9999443300111285
mbert,use1_use0_con0_max250_bat64,4,0.9998794531701767
mbert,use1_use0_con0_max250_bat64,5,0.9924673369071387
mbert,use1_use0_con0_max250_bat64,6,0.9859344772799666
mbert,use1_use0_con0_max250_bat64,7,0.9798054001022001
mbert,use1_use0_con0_max250_bat64,8,0.9637179640722732
mbert,use1_use0_con0_max250_bat64,9,0.9691911720646939
mbert,use1_use0_con0_max250_bat64,10,0.9686549267796701
mbert,use1_use0_con0_max250_bat64,11,0.9690142974793894
mbert,use1_use0_con0_max250_bat64,12,0.9166723558012032
