,ORG,LOC,DATE,PER,Mean
kin,0.99958444,0.99884963,0.9992109,0.99958104,0.9993065
lug,0.9995276,0.99870974,0.9990907,0.99985254,0.9992951
nya,0.9996095,0.9985309,0.99874073,0.99964625,0.9991318
sna,0.99936956,0.9988248,0.9990525,0.9992351,0.9991205
luo,0.999233,0.9985064,0.99907136,0.999563,0.9990935
wol,0.99911535,0.9985111,0.9990624,0.9994933,0.99904555
tsn,0.9992496,0.99777263,0.99905974,0.9994949,0.9988942
ibo,0.99891627,0.99826026,0.9988797,0.9995123,0.99889207
zul,0.99915826,0.998198,0.9984617,0.99919623,0.99875355
xho,0.9991371,0.9983779,0.99855226,0.99894154,0.99875224
twi,0.99923736,0.997738,0.99828887,0.9995778,0.9987105
ewe,0.9990041,0.99788505,0.9982093,0.99957687,0.9986688
mos,0.9990432,0.9980524,0.99792767,0.99941623,0.9986099
pcm,0.99909145,0.99840015,0.9971416,0.9996338,0.99856675
bam,0.99832565,0.99810475,0.99810815,0.9993779,0.9984791
swa,0.9986059,0.9979319,0.997702,0.99951684,0.9984392
hau,0.9987857,0.9979596,0.9973528,0.9993384,0.99835914
yor,0.9985503,0.99743116,0.998144,0.9989013,0.9982567
fon,0.99864215,0.9973426,0.9962836,0.9993754,0.9979109
bbj,0.9977039,0.9971092,0.9969999,0.9994434,0.99781406
