,ORG,PER,DATE,LOC,Mean
lug,0.99998325,0.9999944,0.99994755,0.9999603,0.9999714
twi,0.99997306,0.9999652,0.9998566,0.99993956,0.9999336
tsn,0.99998605,0.9999909,0.99982935,0.9998948,0.99992526
luo,0.9999853,0.9999877,0.99979997,0.99992645,0.9999249
nya,0.9999876,0.9999843,0.9998775,0.9998413,0.99992263
kin,0.99998194,0.9999877,0.9998507,0.99985814,0.99991965
bam,0.99994504,0.9999781,0.9998201,0.99991524,0.99991465
zul,0.9999851,0.99994916,0.9998934,0.99982435,0.999913
wol,0.99998,0.9999783,0.99980056,0.99988323,0.9999105
mos,0.9999701,0.9999802,0.9998217,0.9998529,0.99990624
swa,0.9999208,0.99994975,0.9997942,0.9999467,0.99990284
sna,0.99998885,0.99991924,0.99973786,0.99990356,0.99988735
xho,0.99997276,0.9999595,0.99979055,0.99967545,0.9998496
ewe,0.9999807,0.99986184,0.9996699,0.99986994,0.9998456
ibo,0.9998231,0.9999822,0.99961776,0.99990505,0.99983203
yor,0.99994856,0.9999063,0.9996869,0.99972993,0.9998179
bbj,0.9999576,0.999983,0.9995579,0.9997301,0.9998072
pcm,0.9999297,0.9996422,0.99983233,0.99955475,0.99973977
fon,0.99996424,0.9999689,0.9998643,0.99803233,0.9994574
hau,0.99874985,0.9998499,0.9919322,0.9937593,0.99607277
