,PER,DATE,ORG,LOC
bam,0.9727794528007507,0.972419023513794,0.9625919461250305,0.9642423987388611
bbj,0.9777756333351135,0.96064692735672,0.9771479964256287,0.9340221881866455
ewe,0.9761597514152527,0.9592328667640686,0.9851078987121582,0.972796618938446
fon,0.9788081645965576,0.9607406854629517,0.9825206995010376,0.9482696652412415
hau,0.9745293259620667,0.9413158297538757,0.9774954319000244,0.9453674554824829
ibo,0.9763918519020081,0.9768344163894653,0.985660195350647,0.9496963024139404
kin,0.9783522486686707,0.9676920771598816,0.9886398911476135,0.9753324389457703
lug,0.9759026169776917,0.9731988310813904,0.9775871634483337,0.9796425700187683
luo,0.9759314060211182,0.9705829620361328,0.9807138442993164,0.9711316227912903
mos,0.9791581630706787,0.9522706270217896,0.9805245995521545,0.9520655870437622
nya,0.9840651154518127,0.9640885591506958,0.9880152940750122,0.9541614651679993
pcm,0.9838374257087708,0.9202759265899658,0.9653648734092712,0.9711239337921143
sna,0.9806665182113647,0.969070315361023,0.9806616902351379,0.9639314413070679
swa,0.9800015687942505,0.9291172623634338,0.9693241119384766,0.9684829711914062
tsn,0.9839872121810913,0.9729155898094177,0.9773336052894592,0.9704957008361816
twi,0.9826325178146362,0.9713596701622009,0.988161563873291,0.9752232432365417
wol,0.9754618406295776,0.9700891971588135,0.9760926961898804,0.9566041827201843
xho,0.9650296568870544,0.9669486284255981,0.975138247013092,0.9595028758049011
yor,0.9698872566223145,0.9693827033042908,0.9724023342132568,0.9464040398597717
zul,0.9766848683357239,0.9655714631080627,0.9834157824516296,0.9669950604438782
