,ORG,DATE,LOC,PER,Mean
lug,0.8476696,0.76309526,0.8631586,0.8743702,0.83707345
kin,0.86191434,0.7772902,0.77645904,0.8444593,0.8150307
luo,0.8539945,0.7604232,0.78510594,0.8497989,0.81233066
ibo,0.8492662,0.79095554,0.7498651,0.8263253,0.804103
twi,0.85452414,0.76977825,0.77742606,0.8139951,0.8039309
swa,0.8412553,0.7150401,0.7936917,0.83722794,0.7968037
pcm,0.8380195,0.70654464,0.773198,0.8324995,0.7875654
nya,0.8637021,0.75102645,0.7359904,0.79445153,0.7862926
wol,0.824249,0.7632615,0.72801036,0.8198801,0.7838503
mos,0.8220986,0.7412299,0.71725786,0.84197646,0.78064066
ewe,0.8316969,0.73117036,0.7462237,0.8000005,0.7772729
tsn,0.755865,0.75411105,0.76635766,0.82826984,0.77615094
xho,0.7742025,0.79893625,0.7225318,0.80577046,0.7753602
sna,0.82757473,0.7703225,0.745562,0.75550425,0.77474093
hau,0.8037256,0.7552592,0.72522604,0.8098997,0.7735276
zul,0.815375,0.75369716,0.74168813,0.77063626,0.77034914
fon,0.8145001,0.7189845,0.73825586,0.79954505,0.7678214
bbj,0.7869095,0.73479974,0.72086596,0.8196392,0.7655536
bam,0.7688625,0.7398997,0.7263475,0.8199315,0.76376027
yor,0.797288,0.76058555,0.72316,0.76043105,0.76036614
