,PER,LOC,DATE,ORG
bam,0.9962901473045349,0.9987699389457703,,0.9951303601264954
bbj,0.9963372945785522,0.9987439513206482,,0.9975172877311707
ewe,0.9982385039329529,0.9966484308242798,,0.9973364472389221
fon,0.994056761264801,0.9956037402153015,,0.995606541633606
hau,0.9954559206962585,0.9989489912986755,,0.9989856481552124
ibo,0.9974109530448914,0.998990535736084,,0.9954457879066467
kin,0.9958425164222717,0.9996629357337952,,0.997300386428833
lug,0.9965177774429321,0.9995989799499512,,0.9976766109466553
luo,0.9983195662498474,0.999739408493042,,0.9974240064620972
mos,0.9976193308830261,0.999410092830658,,0.9984009861946106
nya,0.9987473487854004,0.9993216395378113,,0.9980942606925964
pcm,0.9973742961883545,0.9989438652992249,,0.9991310238838196
sna,0.9978592395782471,0.9997368454933167,,0.9997078776359558
swa,0.9982417821884155,0.9994471073150635,,0.9974806904792786
tsn,0.9986308217048645,0.9992411732673645,,0.9977875351905823
twi,0.9980630278587341,0.9991973638534546,,0.9986902475357056
wol,0.998121976852417,0.9987448453903198,,0.9962396621704102
xho,0.9985197186470032,0.9955341219902039,,0.9888622760772705
yor,,0.9960816502571106,,0.9990276098251343
zul,0.9982093572616577,0.9734686017036438,,0.9884869456291199
