,LOC,PER,DATE,ORG,Mean
kin,0.6928741,0.79816663,0.5997305,0.8798941,0.7426663
hau,0.7161493,0.74697477,0.64345825,0.8561201,0.74067557
tsn,0.74671066,0.7782285,0.62698305,0.8041214,0.73901093
lug,0.68194115,0.78502953,0.6118218,0.8678614,0.73666346
luo,0.67143893,0.793874,0.6057462,0.87122303,0.73557055
wol,0.75524175,0.78345335,0.6061251,0.79530716,0.73503184
pcm,0.69923234,0.79744077,0.6051952,0.83657885,0.7346118
swa,0.67763084,0.8160323,0.6157029,0.82036555,0.73243284
nya,0.6794084,0.7502644,0.6027997,0.8850053,0.7293694
twi,0.6812529,0.78390867,0.6024722,0.8476879,0.7288304
sna,0.6891442,0.7201667,0.621727,0.8828093,0.72846174
ibo,0.68717104,0.78431636,0.59546125,0.8436561,0.7276512
ewe,0.7006216,0.7801119,0.62459755,0.801986,0.72682923
xho,0.8042065,0.69928956,0.70686156,0.6872964,0.7244135
mos,0.69639885,0.77977407,0.6061888,0.79661715,0.7197447
yor,0.691399,0.7550707,0.62180525,0.77864313,0.7117295
bam,0.67021334,0.7719329,0.6287074,0.7648604,0.7089285
bbj,0.6569779,0.7544944,0.5991557,0.79148453,0.70052814
zul,0.6967966,0.7096476,0.6787926,0.71008474,0.69883037
fon,0.7021977,0.71827465,0.5996337,0.7399807,0.6900217
