,ORG,LOC,DATE,PER,Mean
lug,0.9558876,0.9238548,0.9084116,0.98178566,0.942485
kin,0.949715,0.9202374,0.91590905,0.9512296,0.93427277
luo,0.922269,0.88949895,0.85516083,0.9667046,0.90840834
sna,0.9259384,0.89132404,0.9192103,0.8762572,0.90318245
nya,0.9452667,0.8394134,0.868828,0.95819193,0.902925
xho,0.9207657,0.8726588,0.92938334,0.87936217,0.9005425
twi,0.9208104,0.8586527,0.8257165,0.9539768,0.8897891
ibo,0.87307787,0.8753078,0.8688177,0.9350839,0.8880718
zul,0.90942097,0.8702159,0.85192096,0.89656514,0.8820308
wol,0.90480846,0.8491317,0.843467,0.928403,0.88145256
tsn,0.89794946,0.80859756,0.8567762,0.93787885,0.8753005
swa,0.8756234,0.8281338,0.83060765,0.9564171,0.8726955
hau,0.87618595,0.817185,0.86855197,0.9161229,0.8695115
bam,0.8304241,0.85648555,0.821956,0.91468555,0.8558878
ewe,0.8528526,0.80714184,0.7551358,0.9191071,0.8335593
mos,0.88078046,0.7986831,0.7433317,0.9061465,0.83223546
pcm,0.8630198,0.80945164,0.6549822,0.9495513,0.81925124
fon,0.8492735,0.7796394,0.70781684,0.88252115,0.8048127
bbj,0.7309915,0.704443,0.6976423,0.88445026,0.7543817
yor,0.7554992,0.7095466,0.7452246,0.784004,0.7485686
