,PER,LOC,DATE,ORG,Mean
lug,0.99827725,0.9975509,0.98689044,0.9969665,0.9949212
kin,0.9931227,0.99611044,0.98888063,0.993331,0.99286115
nya,0.9954531,0.99343663,0.9864122,0.9934734,0.9921938
sna,0.9913099,0.9930378,0.98843884,0.9930558,0.99146056
zul,0.99240196,0.99098295,0.9785774,0.988348,0.98757756
xho,0.977079,0.99079645,0.9896716,0.992201,0.987437
tsn,0.98857147,0.98682845,0.9827075,0.9911866,0.9873235
luo,0.989887,0.99008775,0.9779985,0.98870003,0.98666835
wol,0.98496014,0.9829012,0.97611475,0.98494554,0.9822304
hau,0.98309934,0.980606,0.9848279,0.97978985,0.9820807
ibo,0.9860517,0.98461616,0.9713071,0.98046875,0.9806109
swa,0.98107845,0.97477806,0.9663523,0.9763101,0.9746297
twi,0.97849643,0.9723312,0.9607041,0.9816523,0.973296
ewe,0.9772537,0.97158045,0.9664376,0.97401226,0.97232103
bam,0.9779282,0.96976507,0.97600174,0.964624,0.97207975
mos,0.9825225,0.96057194,0.96449673,0.9736016,0.97029823
yor,0.9548949,0.95530736,0.9457654,0.9610282,0.9542489
pcm,0.9662428,0.9496009,0.93147296,0.9616834,0.95225
fon,0.96220315,0.94491637,0.89902985,0.94734395,0.9383733
bbj,0.94443667,0.89222133,0.91568375,0.88853216,0.9102185
