,LOC,DATE,ORG,PER
bam,,,0.753403902053833,
bbj,,,0.6931899785995483,
ewe,,,0.7037389278411865,0.6449592113494873
fon,,,,0.62996906042099
hau,,,0.6947811841964722,0.6510111093521118
ibo,0.7260446548461914,,0.7407711744308472,
kin,,,0.7836282849311829,
lug,,,0.8453798294067383,0.5330016613006592
luo,,,0.7000516057014465,0.6323210000991821
mos,,,0.7626211643218994,0.646009624004364
nya,,,0.7867331504821777,
pcm,0.6597266793251038,,,0.5492382049560547
sna,0.7262367010116577,,,0.47897469997406006
swa,,,,0.593536913394928
tsn,0.7055704593658447,,0.7455278038978577,
twi,,,,0.69658362865448
wol,,,0.7584654092788696,
xho,0.6714142560958862,,,0.5203994512557983
yor,0.49862343072891235,,0.6755584478378296,
zul,0.6549326777458191,,,
