,DATE,LOC,ORG,PER
bam,,0.9198570251464844,0.9175612330436707,
bbj,,0.8499500155448914,0.9401875734329224,
ewe,,,0.9326430559158325,0.9491605758666992
fon,,0.908859133720398,0.9487900733947754,0.9451903104782104
hau,,,0.9632862210273743,0.9690162539482117
ibo,,0.916307270526886,0.9541382193565369,
kin,,0.7892957925796509,0.928031325340271,
lug,,,0.9636971950531006,0.9527032375335693
luo,,,0.931632936000824,0.9520659446716309
mos,,,0.9543043375015259,0.9389297962188721
nya,,0.9050467014312744,0.9444468021392822,
pcm,,0.9079465866088867,,0.950786292552948
sna,,0.9051827788352966,,0.9645616412162781
swa,,0.898329496383667,,0.9491381645202637
tsn,,0.9027676582336426,0.951871931552887,
twi,,0.9111464619636536,0.9708728790283203,0.9707620739936829
wol,,0.8952500820159912,0.9401585459709167,
xho,,0.8856909871101379,,0.9153839349746704
yor,,0.815362274646759,0.9366095066070557,
zul,,0.8955080509185791,,
