,LOC,DATE,ORG,PER
bam,0.9383639097213745,,0.9168264269828796,0.8697905540466309
bbj,0.8550242781639099,,0.9403671026229858,0.8834776282310486
ewe,0.9402000308036804,,0.9507644772529602,0.8679654598236084
fon,0.931465208530426,,0.960644543170929,0.8632171154022217
hau,0.9276695251464844,,0.959164559841156,0.8672235608100891
ibo,0.9348464608192444,,0.9602921605110168,0.8849194049835205
kin,0.9209057688713074,,0.9200919270515442,0.8741714358329773
lug,0.906448483467102,,0.9494369029998779,0.8488066792488098
luo,0.9378471970558167,,0.9257763624191284,0.8803175687789917
mos,0.9299693703651428,,0.9490485191345215,0.8700526356697083
nya,0.932375431060791,,0.9496422410011292,0.8902923464775085
pcm,0.9454602599143982,,0.9047731161117554,0.8804829120635986
sna,0.9297917485237122,,0.9374710321426392,0.878775417804718
swa,0.917047381401062,,0.9105650186538696,0.8795053362846375
tsn,0.930992841720581,,0.938215970993042,0.8811353445053101
twi,0.9276553392410278,,0.9691635370254517,0.894701361656189
wol,0.9112982153892517,,0.9209988713264465,0.8842532634735107
xho,0.8954092860221863,,0.9433152079582214,0.8612629771232605
yor,0.8065580129623413,,0.9371500611305237,0.819116473197937
zul,0.936447262763977,,0.9537140130996704,0.8759384155273438
