,ORG,PER,DATE,LOC,Mean
twi,0.9847776293754578,0.9872021675109863,,0.9720695614814758,0.98134978612264
mos,0.9799004793167114,0.9760465025901794,,,0.9779734909534454
ewe,0.9714922904968262,0.9764107465744019,,,0.973951518535614
fon,0.9802542924880981,0.9788199067115784,,0.9605861306190491,0.9732201099395752
lug,0.9654580950737,0.9794876575469971,,,0.9724728763103485
bam,0.9709275364875793,,,0.9718499779701233,0.9713887572288513
wol,0.9699257612228394,0.9836088418960571,,0.9601994156837463,0.9712446729342142
nya,0.9723361730575562,,,0.9680631756782532,0.9701996743679047
sna,,0.9770658016204834,,0.9616180658340454,0.9693419337272644
tsn,0.9764214158058167,,,0.9604832530021667,0.9684523344039917
kin,0.9656499624252319,0.9746392965316772,,0.9609503746032715,0.9670798778533936
pcm,,0.9744751453399658,,0.9543303847312927,0.9644027650356293
ibo,0.9722924828529358,,,0.9544482827186584,0.9633703827857971
luo,0.961649477481842,0.9611122012138367,,,0.9613808393478394
xho,,0.9630756378173828,,0.958134651184082,0.9606051445007324
hau,0.9743066430091858,0.9763164520263672,,0.929115891456604,0.9599129954973856
bbj,0.9758920669555664,,,0.943479061126709,0.9596855640411377
zul,,,,0.9549060463905334,0.9549060463905334
yor,0.9755515456199646,,,0.9333347678184509,0.9544431567192078
swa,0.9161654710769653,0.970005989074707,,0.94050133228302,0.9422242641448975
