,DATE,PER,LOC,ORG
bam,0.9998723864555359,0.9997639060020447,0.9998098611831665,0.9998342990875244
bbj,0.9995846152305603,0.999820351600647,0.9990933537483215,0.9994077086448669
ewe,0.9961234927177429,0.9997897744178772,0.9998076558113098,0.9998414516448975
fon,0.9998508095741272,0.9997313022613525,0.9997352361679077,0.9999305009841919
hau,0.9999492764472961,0.999797523021698,0.9993512034416199,0.99993497133255
ibo,0.9999531507492065,0.9998887181282043,0.9998611211776733,0.9999463558197021
kin,0.999902606010437,0.9997429251670837,0.9998758435249329,0.9999722242355347
lug,0.999783456325531,0.9997419714927673,0.9998456239700317,0.9998728632926941
luo,0.9999501705169678,0.9995101094245911,0.9999198317527771,0.9999071359634399
mos,0.9994312524795532,0.9995324015617371,0.9997414946556091,0.9999483227729797
nya,0.9998637437820435,0.9997580051422119,0.9998140931129456,0.9999266266822815
pcm,0.9992152452468872,0.9998290538787842,0.9996983408927917,0.9998824000358582
sna,0.9999167919158936,0.9997771978378296,0.9994406700134277,0.9999265670776367
swa,0.9997906684875488,0.9997314810752869,0.9999529123306274,0.999902606010437
tsn,0.9999010562896729,0.999795138835907,0.9998684525489807,0.9997341632843018
twi,0.9996684193611145,0.9998202323913574,0.9995337724685669,0.9999604225158691
wol,0.9999115467071533,0.9998810291290283,0.9997001886367798,0.9998427629470825
xho,0.9999318718910217,0.9998813271522522,0.9989606738090515,0.9999278783798218
yor,0.9998437166213989,0.999685525894165,0.9993432760238647,0.9998870491981506
zul,0.9999291300773621,0.9998920559883118,0.9995894432067871,0.9999608397483826
