,DATE,ORG,PER,LOC
bam,0.9998079538345337,0.9997620582580566,0.9998199343681335,0.999802827835083
bbj,0.9996504783630371,0.9996819496154785,0.999750018119812,0.9996470808982849
ewe,0.9996775388717651,0.9997973442077637,0.9998070001602173,0.999788224697113
fon,0.9996141791343689,0.9997543692588806,0.9997392296791077,0.999764621257782
hau,0.9998568892478943,0.9999166131019592,0.99992436170578,0.9999048709869385
ibo,0.9998925924301147,0.9998491406440735,0.9998990297317505,0.999900221824646
kin,0.9999013543128967,0.9999361038208008,0.9999527335166931,0.9999507665634155
lug,0.9999222159385681,0.9999671578407288,0.9999514222145081,0.9998618364334106
luo,0.9998419880867004,0.9998457431793213,0.9998638033866882,0.999866247177124
mos,0.9997815489768982,0.9998488426208496,0.999855637550354,0.9998738169670105
nya,0.9998668432235718,0.9999310374259949,0.9999342560768127,0.9999021887779236
pcm,0.999327540397644,0.999609112739563,0.9997458457946777,0.9996338486671448
sna,0.9998705387115479,0.9999499320983887,0.999918520450592,0.9999070167541504
swa,0.9997521638870239,0.9997413158416748,0.9998802542686462,0.9997319579124451
tsn,0.9998947978019714,0.9998372793197632,0.9998984336853027,0.9998309016227722
twi,0.999768078327179,0.9998654127120972,0.9998319745063782,0.9997848272323608
wol,0.9997926354408264,0.9998220801353455,0.9998559355735779,0.9998793005943298
xho,0.9998906850814819,0.9999163150787354,0.9998425245285034,0.9999047517776489
yor,0.9995367527008057,0.9997005462646484,0.9997034072875977,0.999596893787384
zul,0.9998725652694702,0.9999585747718811,0.999880313873291,0.9998924732208252
