,DATE,PER,LOC,ORG,Mean
lug,0.57180357,0.4154868,0.636756,0.6115434,0.55889744
kin,0.5664375,0.41071367,0.6071155,0.5796404,0.54097676
nya,0.55072415,0.41668278,0.5657954,0.563656,0.5242146
xho,0.5881708,0.36097145,0.5752979,0.5581051,0.5206363
sna,0.58072966,0.3704248,0.5713153,0.5565368,0.51975167
luo,0.52801144,0.38784236,0.5546143,0.54061717,0.5027713
zul,0.52718496,0.39459026,0.5459221,0.5341778,0.5004688
tsn,0.5327066,0.38294452,0.51661336,0.54517937,0.49436098
wol,0.50380635,0.39531398,0.52908874,0.52454,0.48818725
hau,0.5385285,0.37657884,0.5196185,0.49940223,0.483532
ibo,0.5142972,0.39717168,0.52850807,0.48035818,0.48008376
bam,0.5210441,0.3754372,0.51298004,0.48159248,0.47276342
swa,0.5034294,0.37358326,0.5053963,0.50059646,0.47075135
twi,0.48645872,0.38312992,0.49756497,0.5049746,0.46803206
mos,0.4745724,0.34218913,0.47672522,0.5021963,0.44892076
ewe,0.46245378,0.3563632,0.46844178,0.48980853,0.44426686
pcm,0.42304066,0.3484225,0.46148998,0.47777808,0.4276828
fon,0.40308887,0.35547018,0.456347,0.4599927,0.41872466
yor,0.43366325,0.32127067,0.42962682,0.3989507,0.39587787
bbj,0.40610093,0.34436548,0.39955503,0.40356976,0.3883978
