,PER,DATE,ORG,LOC
bam,,,0.9971596002578735,
bbj,,,0.9984880685806274,
ewe,0.9952152967453003,,0.9986994862556458,
fon,0.9956176280975342,,,
hau,0.994840681552887,,0.9891542792320251,
ibo,,,0.9981510043144226,0.9969315528869629
kin,,,0.9972406625747681,
lug,0.9900712966918945,,0.9967561960220337,
luo,0.9935653209686279,,0.9975205063819885,
mos,0.9947654604911804,,0.9986321926116943,
nya,,,0.9982916116714478,
pcm,0.9946454763412476,,,0.9980899095535278
sna,0.9923577904701233,,,0.9980983734130859
swa,0.9949329495429993,,,
tsn,,,0.9983352422714233,0.9977798461914062
twi,0.9953978061676025,,,
wol,,,0.9982003569602966,
xho,0.9941064119338989,,,0.9977608323097229
yor,,,0.998275876045227,0.9950724244117737
zul,,,,0.9975405335426331
