,ORG,DATE,PER,LOC
bam,0.9641388654708862,,0.961273193359375,0.982063353061676
bbj,0.9867898225784302,,0.9868680238723755,0.9590161442756653
ewe,0.9832100868225098,,0.984622061252594,0.9714144468307495
fon,0.9845027327537537,,0.9811221361160278,0.976762056350708
hau,0.9747449159622192,,0.984065055847168,0.9508567452430725
ibo,0.9836928248405457,,,0.9606298208236694
kin,0.97024005651474,,0.984925389289856,0.9710592031478882
lug,0.9680858254432678,,0.9835159778594971,
luo,0.9687927961349487,,0.9615166187286377,
mos,0.985260009765625,,0.9726266264915466,0.9778295159339905
nya,0.9796874523162842,,0.9921613335609436,0.9802162051200867
pcm,0.9653138518333435,,0.9839866757392883,0.9773369431495667
sna,0.9742269515991211,,0.9764586687088013,0.9755925536155701
swa,0.9606385827064514,,0.9875867366790771,0.9778228402137756
tsn,0.9816958904266357,,,0.9745490550994873
twi,0.9872891902923584,,0.9865553975105286,0.9741095900535583
wol,0.9769041538238525,,0.9889437556266785,0.9663234949111938
xho,0.9752574563026428,,0.9672961831092834,0.9732409119606018
yor,0.9780712723731995,,,0.9413058161735535
zul,0.9825472235679626,,0.9835999011993408,0.9673446416854858
