,PER,ORG,LOC,DATE
bam,0.9999914169311523,0.9999932050704956,0.9999958872795105,
bbj,0.9999944567680359,0.9999967813491821,0.9999935626983643,
ewe,0.9999976754188538,0.9999873638153076,0.9999905228614807,
fon,0.9999955296516418,0.9999973773956299,0.999996542930603,
hau,0.9999907612800598,0.9999983906745911,0.9999951720237732,
ibo,,0.9999901056289673,0.9999957084655762,
kin,0.999997079372406,0.999987006187439,0.9999933838844299,
lug,0.9999980926513672,0.9999978542327881,,
luo,0.9999955892562866,0.9999871253967285,,
mos,0.9999979734420776,0.9999958276748657,0.999997615814209,
nya,0.9999970197677612,0.9999948740005493,0.9999964237213135,
pcm,0.9999963641166687,0.999997079372406,0.9999966025352478,
sna,0.9999977350234985,0.9999979734420776,0.9999973773956299,
swa,0.9999966025352478,0.9999881982803345,0.9999962449073792,
tsn,,0.9999944567680359,0.9999917149543762,
twi,0.9999973773956299,0.9999983906745911,0.9999964237213135,
wol,0.9999974966049194,0.9999878406524658,0.999989926815033,
xho,0.9999967813491821,0.9999913573265076,0.9999958872795105,
yor,,0.9999985694885254,0.9999912977218628,
zul,0.9999962449073792,0.9999909996986389,0.9999942183494568,
