,ORG,LOC,PER,DATE,Mean
lug,0.9849466,0.99073976,0.9976714,0.95942354,0.9831953
luo,0.99108225,0.93417394,0.9899681,0.97467655,0.97247523
twi,0.99226993,0.92974997,0.99166423,0.9676462,0.97033256
swa,0.9871147,0.95052415,0.98199123,0.96067023,0.9700751
kin,0.9865182,0.91788554,0.9851793,0.9744265,0.9660024
ibo,0.9834258,0.89806706,0.99282193,0.97859055,0.9632263
tsn,0.98507607,0.86950004,0.9870311,0.9758563,0.95436585
ewe,0.97998124,0.91724354,0.9935751,0.924657,0.9538642
sna,0.98774105,0.84532356,0.9903506,0.9837665,0.95179546
nya,0.99191946,0.86807096,0.9882423,0.95464885,0.9507204
bam,0.9504088,0.8663503,0.99192077,0.9642081,0.943222
zul,0.97177184,0.82560897,0.98828095,0.97600645,0.94041705
fon,0.97579986,0.8444962,0.99048746,0.95044416,0.9403069
hau,0.96470845,0.8088928,0.9921317,0.9825921,0.9370813
pcm,0.98232377,0.9325175,0.99619085,0.8231416,0.93354344
mos,0.96583414,0.8295047,0.9917322,0.9338325,0.93022585
wol,0.9631143,0.78699553,0.99120986,0.96982443,0.927786
xho,0.9518638,0.7731677,0.9874577,0.9920537,0.9261358
bbj,0.9463611,0.7810833,0.988737,0.91550153,0.9079207
yor,0.9340879,0.77355075,0.9281598,0.94451684,0.89507884
