,LOC,DATE,PER,ORG
bam,0.9999783635139465,0.9999818801879883,0.9999904632568359,0.9999753832817078
bbj,0.9999876618385315,0.9999868273735046,0.9999843835830688,0.9999895691871643
ewe,0.9999935626983643,0.9999861717224121,0.9999808669090271,0.9999939799308777
fon,0.9999858140945435,0.9999701976776123,0.9999807476997375,0.9999868869781494
hau,0.9999921917915344,0.9999761581420898,0.9999797940254211,0.9999924302101135
ibo,0.999991238117218,0.9999881982803345,0.9999924302101135,0.9999876618385315
kin,0.9999964833259583,0.9999967813491821,0.9999942779541016,0.9999977946281433
lug,0.9999959468841553,0.999994695186615,0.9999943971633911,0.9999935030937195
luo,0.9999961853027344,0.9999945163726807,0.9999935626983643,0.9999944567680359
mos,0.9999927878379822,0.9999790787696838,0.9999922513961792,0.9999932646751404
nya,0.9999972581863403,0.9999971389770508,0.9999937415122986,0.9999968409538269
pcm,0.999991238117218,0.9999819993972778,0.9999913573265076,0.9999797344207764
sna,0.9999963641166687,0.9999958872795105,0.9999957084655762,0.9999975562095642
swa,0.9999865889549255,0.9999803900718689,0.9999911189079285,0.999984085559845
tsn,0.9999950528144836,0.9999953508377075,0.9999948143959045,0.9999940395355225
twi,0.9999924302101135,0.9999847412109375,0.9999911189079285,0.9999939799308777
wol,0.999992311000824,0.9999929666519165,0.999992847442627,0.9999940395355225
xho,0.9999969005584717,0.9999946355819702,0.9999884963035583,0.9999958872795105
yor,0.9999903440475464,0.9999786019325256,0.9999879002571106,0.999990701675415
zul,0.9999959468841553,0.9999913573265076,0.9999949336051941,0.9999961853027344
