,ORG,DATE,LOC,PER
bam,0.952152669429779,,0.9727914333343506,0.9280741214752197
bbj,0.9700061678886414,,0.9410701990127563,0.9630306959152222
ewe,0.9760858416557312,,0.9497435688972473,0.9494799375534058
fon,0.9797343015670776,,0.955890953540802,0.9447914361953735
hau,0.9700902700424194,,0.9544545412063599,0.9553736448287964
ibo,0.9742204546928406,,0.9687645435333252,
kin,0.9753426313400269,,0.9671550989151001,0.9622215032577515
lug,0.9782869815826416,,,0.9358574151992798
luo,0.9689846634864807,,,0.9617334008216858
mos,0.9738965034484863,,0.9585230350494385,0.9364100098609924
nya,0.9661234617233276,,0.9525124430656433,0.9506610631942749
pcm,0.9448633790016174,,0.9770641326904297,0.9529462456703186
sna,0.9588540196418762,,0.9695296287536621,0.9561184048652649
swa,0.9627416133880615,,0.9738752245903015,0.9512605667114258
tsn,0.9704208374023438,,0.9540759325027466,
twi,0.982852041721344,,0.9650459289550781,0.9609708189964294
wol,0.9585919380187988,,0.9564428925514221,0.9640477895736694
xho,0.9699035882949829,,0.9518066644668579,0.9473330974578857
yor,0.9701522588729858,,0.9073531627655029,
zul,0.9756654500961304,,0.9498881697654724,0.9601442217826843
