,ORG,DATE,LOC,PER
bam,0.9225541353225708,,0.9371286034584045,
bbj,0.9283725619316101,,0.8416072726249695,
ewe,0.9493175745010376,,,0.9233744740486145
fon,0.9556114673614502,,0.9064232707023621,0.915652334690094
hau,0.9491739869117737,,0.8942837119102478,0.9215622544288635
ibo,0.9357041716575623,,0.9298203587532043,
kin,0.9617815613746643,,0.8888272047042847,0.9399387836456299
lug,0.9436938166618347,,,0.9065160155296326
luo,0.9381821155548096,,,0.9388793706893921
mos,0.9581059217453003,,,0.8670570254325867
nya,0.8916918635368347,,0.8945978283882141,0.8826062679290771
pcm,,,0.9533002972602844,0.9120195508003235
sna,0.9402441382408142,,0.909250020980835,0.9275749921798706
swa,0.9175262451171875,,0.9268411993980408,0.9151284694671631
tsn,0.9218442440032959,,0.9066150188446045,
twi,0.9538884162902832,,0.8914997577667236,0.9209564924240112
wol,0.9340781569480896,,0.8756651878356934,0.9350937604904175
xho,,,0.851576566696167,0.9323779344558716
yor,0.9183455109596252,,0.7740153074264526,
zul,,,0.860892653465271,0.9422810673713684
