,LOC,ORG,DATE,PER
bam,0.9980288743972778,0.9967894554138184,,
bbj,0.9952013492584229,0.997502326965332,,
ewe,,0.9983488321304321,,0.992924153804779
fon,0.9975891709327698,0.9979947209358215,,0.9927363991737366
hau,0.9967267513275146,0.9973699450492859,,0.9928564429283142
ibo,0.9978229403495789,0.9984670877456665,,
kin,0.9982461929321289,0.9989396333694458,,0.9915364980697632
lug,,0.9972373247146606,,0.9916577339172363
luo,,0.9977626204490662,,0.9935904145240784
mos,,0.9986613392829895,,0.9929674863815308
nya,0.9983732104301453,0.9986692667007446,,0.9923862814903259
pcm,0.997822642326355,,,0.9928672313690186
sna,0.9986898899078369,0.9986569285392761,,0.9932894706726074
swa,0.9963982105255127,0.9975035786628723,,0.9935523867607117
tsn,0.9980486631393433,0.9986402988433838,,
twi,0.9982357025146484,0.998962938785553,,0.9934452772140503
wol,0.9975916147232056,0.998047411441803,,0.9924739599227905
xho,0.997821033000946,,,0.9932194352149963
yor,0.996044397354126,0.9978880286216736,,
zul,0.9975413680076599,,,0.9920717477798462
