,ORG,PER,DATE,LOC,Mean
lug,0.8308923,0.8814281,0.7923046,0.8599665,0.8411479
kin,0.8259876,0.83061504,0.7890789,0.8307141,0.81909895
nya,0.8240173,0.81904894,0.7804775,0.809869,0.8083532
luo,0.8020411,0.81342447,0.7818481,0.816358,0.8034179
sna,0.810779,0.7840024,0.7889715,0.8148241,0.79964423
tsn,0.81138146,0.8156232,0.7786681,0.76750743,0.793295
wol,0.7837057,0.80109936,0.7667692,0.79637384,0.786987
zul,0.77633107,0.7838115,0.7508538,0.7772596,0.772064
xho,0.7553779,0.77640027,0.73943174,0.7657815,0.7592478
ibo,0.7566365,0.7722825,0.75022984,0.7521,0.7578122
twi,0.7644589,0.7850734,0.73474675,0.74380505,0.75702107
bam,0.7411709,0.7764348,0.7512394,0.75360334,0.75561213
ewe,0.7552434,0.7758658,0.73749876,0.7511977,0.7549515
pcm,0.758633,0.7955177,0.7113938,0.7512399,0.75419605
mos,0.7591546,0.75878406,0.72995573,0.7491169,0.7492528
hau,0.74412787,0.7794193,0.7035545,0.73964274,0.7416861
swa,0.73440677,0.77962863,0.71471757,0.7236664,0.7381049
yor,0.7385329,0.7415669,0.719224,0.72675186,0.73151886
bbj,0.7049124,0.7504624,0.6961706,0.7083988,0.7149861
fon,0.72055316,0.73825103,0.6894641,0.7087712,0.71425986
