,LOC,DATE,ORG,PER,Mean
lug,0.9823086857795715,,0.9759781956672668,0.9879314303398132,0.9820727705955505
twi,0.9742861390113831,,0.9878259301185608,0.9810272455215454,0.9810464382171631
kin,0.9749131202697754,,0.984476625919342,0.9775373935699463,0.9789757132530212
luo,0.9770180583000183,,0.9825528264045715,0.9770914316177368,0.9788874387741089
tsn,0.971562922000885,,0.9800823330879211,0.9831836819648743,0.9782763123512268
ewe,0.9716755747795105,,0.9836739897727966,0.9771333932876587,0.9774943192799886
swa,0.9794649481773376,,0.9729593992233276,0.9781839847564697,0.9768694440523783
pcm,0.9744998812675476,,0.9676439166069031,0.9826399683952332,0.9749279220898946
nya,0.9577270150184631,,0.9825276136398315,0.983802318572998,0.9746856490770975
ibo,0.9611898064613342,,0.9828648567199707,0.9742206335067749,0.97275843222936
sna,0.9589550495147705,,0.981450617313385,0.9759702682495117,0.9721253116925558
wol,0.9593490362167358,,0.9787868857383728,0.9722946882247925,0.9701435367266337
mos,0.9569676518440247,,0.9755895733833313,0.9760344624519348,0.9695305625597636
fon,0.9512450695037842,,0.9743285775184631,0.9751449227333069,0.9669061899185181
zul,0.9605910181999207,,0.9674949049949646,0.9678190350532532,0.9653016527493795
bam,0.9673565626144409,,0.9417598843574524,0.9749030470848083,0.9613398313522339
yor,0.9456366300582886,,0.9734800457954407,0.9615075588226318,0.9602080782254537
hau,0.9432252645492554,,0.9666006565093994,0.9681857228279114,0.9593372146288554
bbj,0.9298684597015381,,0.9684960842132568,0.9720190763473511,0.956794540087382
xho,0.9459730386734009,,0.9618507623672485,0.9476918578147888,0.9518385529518127
