,LOC,DATE,ORG,PER,Mean
twi,0.944232165813446,,0.9692109823226929,0.8575244545936584,0.951106642777065
ibo,0.9476717710494995,,0.9622222185134888,0.8581545352935791,0.9494681763199141
sna,0.943493664264679,,0.9578431248664856,0.85472172498703,0.9452374510045322
hau,0.9344873428344727,,0.9654189348220825,0.8616480231285095,0.944954736052819
mos,0.9437651634216309,,0.955540120601654,0.8566985130310059,0.9443910875410404
zul,0.9304371476173401,,0.9665780067443848,0.8517197370529175,0.9430290201924881
fon,0.9361995458602905,,0.9577770233154297,0.8416966795921326,0.9410283824182907
nya,0.9359205365180969,,0.9514705538749695,0.8669962882995605,0.9393540778250065
tsn,0.9345957040786743,,0.9490963220596313,0.8575760126113892,0.9370760130432417
xho,0.9199122190475464,,0.9622330665588379,0.850161075592041,0.9359267050365232
lug,0.9162662625312805,,0.963554859161377,0.8335415720939636,0.9338896746905345
bam,0.9434964060783386,,0.9312149286270142,0.8510577082633972,0.9324708772155473
luo,0.946500837802887,,0.923163890838623,0.8479588031768799,0.9299149929352526
wol,0.9288186430931091,,0.9372932314872742,0.8638935089111328,0.9291410828536412
kin,0.9312054514884949,,0.9361458420753479,0.8523737788200378,0.929073654255777
ewe,0.9194012880325317,,0.9446460604667664,0.8554630875587463,0.9276900561350696
pcm,0.9209302067756653,,0.9161802530288696,0.8462944030761719,0.914464994421545
bbj,0.8747624158859253,,0.9454101920127869,0.8573246598243713,0.907099795791338
swa,0.907448947429657,,0.9127328991889954,0.8471842408180237,0.906530167696611
yor,0.8480854630470276,,0.9470309019088745,0.8106557130813599,0.8926391747762572
