,LOC,ORG,PER,DATE,Mean
lug,0.9893689,0.9816719,0.99794054,0.9572255,0.9815517
twi,0.94833434,0.99106497,0.9930516,0.9691185,0.97539234
luo,0.93348354,0.99116564,0.9873284,0.9758203,0.9719495
swa,0.94636834,0.991299,0.9835393,0.96295214,0.9710397
kin,0.93362427,0.9889638,0.9835067,0.97672534,0.97070503
ibo,0.90638,0.98334545,0.99328345,0.9801678,0.9657942
ewe,0.923956,0.98156613,0.99244875,0.92627835,0.9560623
tsn,0.8646531,0.98913264,0.9848958,0.9743067,0.9532471
nya,0.8798713,0.99095595,0.9870763,0.9511384,0.9522605
sna,0.8462497,0.9874065,0.9886023,0.9849807,0.95180976
bam,0.8791029,0.95715237,0.9919004,0.9617622,0.9474795
zul,0.8420099,0.97516614,0.98528194,0.97760916,0.9450168
fon,0.84551287,0.97965854,0.9906799,0.95047367,0.94158125
hau,0.8205482,0.9706478,0.9918424,0.9822551,0.9413234
pcm,0.9419788,0.98087794,0.9963236,0.8203095,0.9348725
wol,0.8005335,0.96498716,0.99055445,0.97047913,0.9316385
mos,0.83974934,0.9723266,0.98903847,0.9197259,0.93021005
xho,0.7832037,0.9508079,0.9878464,0.99278104,0.9286598
bbj,0.78612053,0.95691144,0.98972225,0.91409147,0.91171145
yor,0.76533747,0.938489,0.9277768,0.9454994,0.89427567
