,PER,DATE,LOC,ORG,Mean
kin,0.99451995,0.9992966,0.9987554,0.9993133,0.99797136
lug,0.9945737,0.9992023,0.9985486,0.99932617,0.99791276
nya,0.99430984,0.9988827,0.998417,0.9993228,0.9977331
luo,0.9944939,0.99910975,0.9983163,0.9989168,0.9977092
sna,0.99347836,0.9991372,0.99872035,0.99908084,0.9976042
tsn,0.9943811,0.9990346,0.99768835,0.998904,0.997502
wol,0.9935739,0.99911237,0.9983991,0.9987739,0.9974648
xho,0.9940388,0.99846226,0.99833655,0.99879974,0.99740934
twi,0.99451315,0.9984494,0.99772835,0.9989244,0.99740386
ibo,0.9938117,0.99898106,0.99819416,0.99859494,0.9973955
swa,0.99542236,0.9977998,0.9978462,0.99839467,0.9973658
zul,0.99377924,0.9985768,0.99807584,0.9987941,0.99730647
ewe,0.99444944,0.9983083,0.99766535,0.9986112,0.9972586
pcm,0.9946735,0.9973483,0.99819654,0.9987523,0.9972427
mos,0.994141,0.99806696,0.99791586,0.9986984,0.99720556
hau,0.9944692,0.99738437,0.9978995,0.9985949,0.997087
bam,0.9937079,0.9982989,0.9979811,0.997935,0.9969807
yor,0.99359614,0.99826247,0.9973599,0.99819994,0.9968546
fon,0.9941264,0.9967342,0.99728596,0.9982959,0.99661064
bbj,0.99400467,0.99737674,0.9970191,0.9973661,0.9964416
