,run,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
run,0.9999999,0.9297441,0.8996274,0.9392723,0.90300727,0.951959,0.9515464,0.9842344,0.98338974,0.9514461,0.92665637,0.98111546,0.8947119,0.97872573,0.9623833,0.9412985,0.938691,0.93134165,0.98340106,0.8941169,0.9834651
bam,0.9297441,0.99999964,0.9537406,0.9849405,0.9768071,0.9716437,0.9723203,0.9634721,0.9664103,0.97484833,0.97236687,0.96102005,0.94583917,0.94739723,0.9535141,0.9782212,0.9899528,0.9826571,0.9560615,0.9341734,0.9549409
bbj,0.8996274,0.9537406,0.99999994,0.9609424,0.9720994,0.929459,0.9457165,0.92529607,0.9276111,0.9278852,0.958096,0.92103803,0.90073246,0.9096166,0.9069984,0.9296646,0.9515555,0.94380856,0.9211085,0.9530444,0.9187881
ewe,0.9392723,0.9849405,0.9609424,1.0000002,0.96890557,0.97122073,0.97207713,0.96712905,0.96953976,0.9757607,0.97968537,0.96479905,0.9550644,0.948323,0.95617366,0.9809797,0.982005,0.9780552,0.96531045,0.9294737,0.963143
fon,0.90300727,0.9768071,0.9720994,0.96890557,0.99999976,0.9432651,0.9642665,0.93487275,0.94065607,0.94667065,0.96207035,0.9368464,0.9108279,0.9208776,0.9239365,0.9522853,0.9779666,0.9630054,0.92446625,0.9571929,0.9215082
hau,0.951959,0.9716437,0.929459,0.97122073,0.9432651,1.0,0.9752122,0.9800581,0.97569317,0.99051785,0.9783255,0.9779001,0.95418453,0.9745259,0.9764018,0.9889407,0.97338617,0.9869284,0.97056246,0.9149034,0.970317
ibo,0.9515464,0.9723203,0.9457165,0.97207713,0.9642665,0.9752122,0.99999994,0.97578657,0.97712517,0.97922355,0.97602564,0.9744128,0.9338301,0.9638713,0.9642747,0.97595,0.97628117,0.97904444,0.96506155,0.95450616,0.9648237
kin,0.9842344,0.9634721,0.92529607,0.96712905,0.93487275,0.9800581,0.97578657,1.0000002,0.99480647,0.9814036,0.95777106,0.99388146,0.927487,0.98810005,0.98155755,0.97616243,0.968958,0.968175,0.9906461,0.91745156,0.9903515
lug,0.98338974,0.9664103,0.9276111,0.96953976,0.94065607,0.97569317,0.97712517,0.99480647,1.0000001,0.9783125,0.9575031,0.9937316,0.92754436,0.98581195,0.9798833,0.9749062,0.9699781,0.96801114,0.99006593,0.9213958,0.98978853
luo,0.9514461,0.97484833,0.9278852,0.9757607,0.94667065,0.99051785,0.97922355,0.9814036,0.9783125,1.0000002,0.97724175,0.97983587,0.9580659,0.9739299,0.9718433,0.99137735,0.97445226,0.9903281,0.97332287,0.91921365,0.9726323
mos,0.92665637,0.97236687,0.958096,0.97968537,0.96207035,0.9783255,0.97602564,0.95777106,0.9575031,0.97724175,0.99999994,0.95503056,0.95152175,0.9502404,0.9481907,0.97764814,0.9707688,0.98467124,0.9516437,0.92608196,0.9509765
nya,0.98111546,0.96102005,0.92103803,0.96479905,0.9368464,0.9779001,0.9744128,0.99388146,0.9937316,0.97983587,0.95503056,0.9999997,0.9214177,0.9908494,0.98612237,0.9764843,0.9678584,0.96707237,0.9890133,0.9157944,0.9889977
pcm,0.8947119,0.94583917,0.90073246,0.9550644,0.9108279,0.95418453,0.9338301,0.927487,0.92754436,0.9580659,0.95152175,0.9214177,1.0000001,0.9132185,0.92772484,0.95559573,0.93991923,0.9593402,0.92441636,0.8730891,0.924332
sna,0.97872573,0.94739723,0.9096166,0.948323,0.9208776,0.9745259,0.9638713,0.98810005,0.98581195,0.9739299,0.9502404,0.9908494,0.9132185,0.9999998,0.9745382,0.96349025,0.9515483,0.9606062,0.98522055,0.9022325,0.98492
swa,0.9623833,0.9535141,0.9069984,0.95617366,0.9239365,0.9764018,0.9642747,0.98155755,0.9798833,0.9718433,0.9481907,0.98612237,0.92772484,0.9745382,1.0,0.9736246,0.9605801,0.9607531,0.97219676,0.9012835,0.97346437
tsn,0.9412985,0.9782212,0.9296646,0.9809797,0.9522853,0.9889407,0.97595,0.97616243,0.9749062,0.99137735,0.97764814,0.9764843,0.95559573,0.96349025,0.9736246,0.9999998,0.97973067,0.9882484,0.9676127,0.91703856,0.9666514
twi,0.938691,0.9899528,0.9515555,0.982005,0.9779666,0.97338617,0.97628117,0.968958,0.9699781,0.97445226,0.9707688,0.9678584,0.93991923,0.9515483,0.9605801,0.97973067,1.0000002,0.9791728,0.95639527,0.93094045,0.9561361
wol,0.93134165,0.9826571,0.94380856,0.9780552,0.9630054,0.9869284,0.97904444,0.968175,0.96801114,0.9903281,0.98467124,0.96707237,0.9593402,0.9606062,0.9607531,0.9882484,0.9791728,0.9999996,0.9604874,0.9294827,0.9596652
xho,0.98340106,0.9560615,0.9211085,0.96531045,0.92446625,0.97056246,0.96506155,0.9906461,0.99006593,0.97332287,0.9516437,0.9890133,0.92441636,0.98522055,0.97219676,0.9676127,0.95639527,0.9604874,1.0000001,0.90879977,0.99854106
yor,0.8941169,0.9341734,0.9530444,0.9294737,0.9571929,0.9149034,0.95450616,0.91745156,0.9213958,0.91921365,0.92608196,0.9157944,0.8730891,0.9022325,0.9012835,0.91703856,0.93094045,0.9294827,0.90879977,0.99999964,0.9060558
zul,0.9834651,0.9549409,0.9187881,0.963143,0.9215082,0.970317,0.9648237,0.9903515,0.98978853,0.9726323,0.9509765,0.9889977,0.924332,0.98492,0.97346437,0.9666514,0.9561361,0.9596652,0.99854106,0.9060558,1.0000002
