,DATE,LOC,ORG,PER,Mean
lug,0.9095103,0.91853297,0.95535976,0.98018086,0.9408959
kin,0.91366047,0.91779935,0.9494488,0.9532842,0.9335482
sna,0.92084527,0.8918704,0.9237946,0.877569,0.9035198
luo,0.84912515,0.886356,0.9122591,0.96584326,0.9033959
nya,0.873606,0.8396766,0.93834674,0.9610293,0.9031647
xho,0.92927164,0.8728814,0.91774225,0.88604593,0.9014853
twi,0.8340026,0.8610956,0.916428,0.95320904,0.89118385
ibo,0.8726317,0.87877685,0.8606772,0.9330322,0.8862795
tsn,0.8611431,0.80558646,0.90721405,0.94548744,0.8798578
zul,0.8553745,0.85362554,0.9014715,0.90288544,0.8783393
wol,0.8327403,0.84819746,0.9034739,0.92863214,0.87826097
swa,0.83278775,0.82669234,0.8701303,0.95410633,0.8709292
hau,0.859022,0.8070431,0.87328136,0.9151776,0.863631
bam,0.8176184,0.85582674,0.83118296,0.9058039,0.852608
ewe,0.749332,0.80098164,0.86181045,0.91029245,0.83060414
mos,0.7400229,0.7808637,0.883,0.90199333,0.82647
pcm,0.65721637,0.80230725,0.8621979,0.9502652,0.8179967
fon,0.7039818,0.7753286,0.8561915,0.88358974,0.8047729
bbj,0.7010478,0.6912705,0.75151503,0.88037837,0.75605285
yor,0.74720544,0.7048483,0.7222794,0.7814915,0.73895615
