,ORG,PER,LOC,DATE,Mean
zul,0.9999956488609314,0.9999818801879883,0.9999964237213135,,0.9999956239774389
ewe,0.9999980330467224,0.999963641166687,0.9999942183494568,,0.9999951795466895
fon,0.9999962449073792,0.9999844431877136,0.9999943971633911,,0.9999950042048704
twi,0.9999986290931702,0.9999785423278809,0.999992311000824,,0.9999949770066344
mos,0.9999986886978149,0.9999639987945557,0.9999926090240479,,0.9999947270143379
ibo,0.9999977946281433,0.9999826550483704,0.9999909996986389,,0.999994055160041
wol,0.9999983310699463,0.9999818205833435,0.9999904632568359,,0.9999940308552344
sna,0.9999937415122986,0.9999764561653137,0.9999951720237732,,0.9999939324786362
yor,0.9999914765357971,0.9999895691871643,0.9999955296516418,,0.999993388513917
kin,0.9999976754188538,0.9999773502349854,0.999989926815033,,0.9999933219650416
nya,0.9999939203262329,0.9999839663505554,0.9999932050704956,,0.9999932831930882
xho,0.9999915361404419,0.9999843835830688,0.9999937415122986,,0.9999923983823906
pcm,0.9999935626983643,0.9999840259552002,0.9999884963035583,,0.9999908255141916
luo,0.9999902844429016,0.9999862909317017,0.9999904632568359,,0.9999902549299221
swa,0.999994158744812,0.9999855160713196,0.9999858736991882,,0.9999898851496501
tsn,0.9999866485595703,0.9999828934669495,0.9999923706054688,,0.9999893168801243
bam,0.9999809861183167,0.9999772906303406,0.9999969601631165,,0.9999886328734241
hau,0.9999830722808838,0.9999697208404541,0.9999948740005493,,0.999988412394107
bbj,0.9999935626983643,0.9999839067459106,0.9999834299087524,,0.999988362627122
lug,0.9999808669090271,0.9999833703041077,0.9999864101409912,,0.9999836307127499
