,DATE,PER,LOC,ORG,Mean
lug,0.6560712,0.80010605,0.7431003,0.7039013,0.7257947
nya,0.64198935,0.7450246,0.6981136,0.7337295,0.7047143
kin,0.66953146,0.7126341,0.7287195,0.70664144,0.70438164
sna,0.66124237,0.6952704,0.6906295,0.7014941,0.68715906
luo,0.617567,0.7375541,0.6784238,0.69411254,0.6819144
twi,0.6154059,0.7143514,0.6423286,0.69092876,0.66575366
ibo,0.6302203,0.7014054,0.6735972,0.63811445,0.6608343
xho,0.6734904,0.647527,0.6620296,0.65222424,0.6588178
zul,0.62069875,0.68688226,0.66740084,0.6490525,0.6560086
swa,0.6110721,0.7198466,0.6393678,0.65230817,0.6556487
tsn,0.62997705,0.68171453,0.6461512,0.6621958,0.6550096
hau,0.6448832,0.6713376,0.64538956,0.64444184,0.65151304
wol,0.6251859,0.6818807,0.64763486,0.6409874,0.6489222
mos,0.59467685,0.6880268,0.61558473,0.63458824,0.6332191
bam,0.6129386,0.6632683,0.6445369,0.6090411,0.6324463
ewe,0.59832656,0.6799405,0.6150229,0.63382864,0.6317797
pcm,0.5317722,0.68324226,0.5864253,0.6265013,0.6069853
fon,0.5537081,0.6516376,0.5929523,0.6182971,0.60414875
yor,0.5702474,0.5994395,0.5872641,0.6119262,0.59221935
bbj,0.5546991,0.63446337,0.53739506,0.5500403,0.56914943
