,PER,ORG,DATE,LOC,Mean
lug,0.99647397,0.9994395,0.99946064,0.9997384,0.99877816
kin,0.9963307,0.9991419,0.9993454,0.9995498,0.99859196
nya,0.99624795,0.9991,0.9992676,0.99942577,0.99851036
luo,0.9961025,0.99898076,0.9992534,0.9994419,0.9984446
sna,0.9954567,0.99910307,0.9993077,0.999466,0.99833333
tsn,0.9960439,0.99894524,0.99924314,0.9989308,0.9982908
wol,0.9959845,0.9985349,0.99902904,0.99922,0.9981921
zul,0.99594855,0.9983975,0.9987403,0.99898756,0.9980185
twi,0.9960907,0.99834484,0.99853754,0.99869996,0.99791825
bam,0.9960358,0.99779654,0.9987914,0.998642,0.99781644
ibo,0.9955449,0.9980635,0.9988244,0.9987704,0.9978008
xho,0.99570113,0.9980904,0.9983151,0.99890083,0.9977519
ewe,0.9956405,0.9982836,0.9984927,0.99846274,0.9977199
pcm,0.9958941,0.99840695,0.9977885,0.9984963,0.99764645
mos,0.99559534,0.99800646,0.99820405,0.99846655,0.9975681
swa,0.9961764,0.9982679,0.99784523,0.99780357,0.9975233
hau,0.9957286,0.9981831,0.9967351,0.9984938,0.9972851
yor,0.9954633,0.9975855,0.9980284,0.9977233,0.99720013
bbj,0.99512154,0.9967452,0.997122,0.99709123,0.99652004
fon,0.99504215,0.997247,0.99634725,0.997042,0.99641955
