,PER,DATE,LOC,ORG
bam,0.9999963641166687,0.9999822974205017,0.9999672770500183,0.9999874234199524
bbj,0.9999945759773254,0.9999889731407166,0.9999348521232605,0.9999953508377075
ewe,0.9999949336051941,0.9999716877937317,0.9999805092811584,0.9999959468841553
fon,0.9999839067459106,0.9999824166297913,0.9999635815620422,0.9999933242797852
hau,0.9999954104423523,0.9999902844429016,0.9999715685844421,0.9999969005584717
ibo,0.9999978542327881,0.9999945163726807,0.9999662637710571,0.9999949932098389
kin,0.9999958872795105,0.9999890327453613,0.9999969601631165,0.9999950528144836
lug,0.9999982118606567,0.99997478723526,0.9999923706054688,0.9999783635139465
luo,0.9999921917915344,0.9999947547912598,0.9999947547912598,0.9999914765357971
mos,0.9999851584434509,0.9999837279319763,0.9999633431434631,0.9999947547912598
nya,0.9999971985816956,0.9999709725379944,0.9999789595603943,0.9999890923500061
pcm,0.9999987483024597,0.9999033808708191,0.9999940991401672,0.999972939491272
sna,0.9999979138374329,0.999976634979248,0.9999521970748901,0.9999822378158569
swa,0.9999939799308777,0.9999058842658997,0.9999977946281433,0.9999697208404541
tsn,0.9999954104423523,0.9999859929084778,0.9999847412109375,0.9999703764915466
twi,0.9999969005584717,0.9999778866767883,0.9999971985816956,0.9999940395355225
wol,0.9999930262565613,0.9999942183494568,0.9999644160270691,0.9999884963035583
xho,0.9999923706054688,0.9999889135360718,0.9999536871910095,0.9999898672103882
yor,0.9999929070472717,0.9999906420707703,0.9999502897262573,0.9999944567680359
zul,0.999994695186615,0.9999881386756897,0.9999748468399048,0.9999930262565613
