,PER,ORG,LOC,DATE,Mean
twi,0.9999809265136719,,,,0.9999809265136719
lug,0.9999865889549255,0.9999698996543884,,,0.999978244304657
kin,,0.9999778866767883,,,0.9999778866767883
sna,0.999990701675415,,0.9999617338180542,,0.9999762177467346
nya,,0.9999756813049316,,,0.9999756813049316
xho,0.9999807476997375,,0.9999671578407288,,0.9999739527702332
ewe,0.9999733567237854,0.9999695420265198,,,0.9999714493751526
hau,0.9999792575836182,0.9999627470970154,,,0.9999710023403168
fon,0.9999606013298035,,,,0.9999606013298035
bam,,0.9999600648880005,,,0.9999600648880005
swa,0.9999586343765259,,,,0.9999586343765259
wol,,0.9999523758888245,,,0.9999523758888245
zul,,,0.9999508261680603,,0.9999508261680603
mos,0.9999715089797974,0.9999281764030457,,,0.9999498426914215
tsn,,0.9999256134033203,0.9999567866325378,,0.9999412000179291
luo,0.99992835521698,0.9999250769615173,,,0.9999267160892487
bbj,,0.9999504089355469,0.9998978972434998,,0.9999241530895233
pcm,0.9999719262123108,,0.9998655915260315,,0.9999187588691711
ibo,,0.9998570680618286,0.999931275844574,,0.9998941719532013
yor,,0.9999433159828186,0.9997947812080383,,0.9998690485954285
