layer,model,rank_type,language,swd_mean
1,afroxlmr,top5,kin,0.008137617578540812
1,afroxlmr,top5,ibo,0.008850153755020074
1,afroxlmr,top5,tsn,0.008891952352314547
1,afroxlmr,top5,twi,0.008926633782948556
1,afroxlmr,top5,lug,0.009011372542317986
1,afroxlmr,worst5,yor,0.011921942199251134
1,afroxlmr,worst5,mos,0.011781126126834351
1,afroxlmr,worst5,fon,0.011247026808860028
1,afroxlmr,worst5,hau,0.011190309102403262
1,afroxlmr,worst5,bbj,0.011039734452879202
2,afroxlmr,top5,kin,0.0056993631969817216
2,afroxlmr,top5,twi,0.006001747782988787
2,afroxlmr,top5,ibo,0.0062435383772481146
2,afroxlmr,top5,luo,0.006339843049090632
2,afroxlmr,top5,nya,0.006372933369107159
2,afroxlmr,worst5,hau,0.008130840452395205
2,afroxlmr,worst5,yor,0.007931653922923942
2,afroxlmr,worst5,fon,0.007829320280393404
2,afroxlmr,worst5,mos,0.007795646729391592
2,afroxlmr,worst5,pcm,0.007641771502107986
3,afroxlmr,top5,kin,0.005429175239783035
3,afroxlmr,top5,twi,0.005755658273415065
3,afroxlmr,top5,luo,0.005802724473596754
3,afroxlmr,top5,ibo,0.0059162298118735634
3,afroxlmr,top5,tsn,0.005940152215544003
3,afroxlmr,worst5,yor,0.0075877917543039075
3,afroxlmr,worst5,hau,0.007584657996289934
3,afroxlmr,worst5,pcm,0.007174229292445489
3,afroxlmr,worst5,bbj,0.0069936973823132575
3,afroxlmr,worst5,mos,0.006950088352709827
4,afroxlmr,top5,kin,0.005796637039907182
4,afroxlmr,top5,twi,0.005960248094083909
4,afroxlmr,top5,luo,0.006433219727341566
4,afroxlmr,top5,lug,0.00646812153661358
4,afroxlmr,top5,zul,0.006681789997855958
4,afroxlmr,worst5,yor,0.00813815269088991
4,afroxlmr,worst5,fon,0.008073593333392637
4,afroxlmr,worst5,hau,0.008029869826827962
4,afroxlmr,worst5,mos,0.008021649585884916
4,afroxlmr,worst5,bam,0.007900231798203095
5,afroxlmr,top5,kin,0.005810343277289576
5,afroxlmr,top5,twi,0.005898146503454882
5,afroxlmr,top5,luo,0.006126946471567862
5,afroxlmr,top5,lug,0.006263512875648303
5,afroxlmr,top5,zul,0.0065296678737922775
5,afroxlmr,worst5,yor,0.008264444521842051
5,afroxlmr,worst5,hau,0.00782820927861394
5,afroxlmr,worst5,fon,0.007773174190788268
5,afroxlmr,worst5,bbj,0.0075922808346149395
5,afroxlmr,worst5,bam,0.0073764591255667256
6,afroxlmr,top5,kin,0.005754911631015602
6,afroxlmr,top5,twi,0.0058440793411591585
6,afroxlmr,top5,luo,0.005903108389475165
6,afroxlmr,top5,tsn,0.005977211632739454
6,afroxlmr,top5,nya,0.006148305423494094
6,afroxlmr,worst5,yor,0.007639117162284492
6,afroxlmr,worst5,hau,0.007549948763312386
6,afroxlmr,worst5,bbj,0.007484948913202061
6,afroxlmr,worst5,bam,0.007304134668288498
6,afroxlmr,worst5,mos,0.0072743710501299574
7,afroxlmr,top5,twi,0.005153304012424087
7,afroxlmr,top5,luo,0.005349003604237623
7,afroxlmr,top5,lug,0.005515164891562563
7,afroxlmr,top5,kin,0.005545011558524493
7,afroxlmr,top5,tsn,0.005673992800552696
7,afroxlmr,worst5,yor,0.007243935153951497
7,afroxlmr,worst5,fon,0.006879595977352437
7,afroxlmr,worst5,bbj,0.006651240436269745
7,afroxlmr,worst5,xho,0.0065788377435183065
7,afroxlmr,worst5,mos,0.006439137554480112
8,afroxlmr,top5,kin,0.005309958550526517
8,afroxlmr,top5,twi,0.005536229856716091
8,afroxlmr,top5,luo,0.005789199974060466
8,afroxlmr,top5,lug,0.005954948535418225
8,afroxlmr,top5,ewe,0.005961151479255022
8,afroxlmr,worst5,yor,0.007268334370792218
8,afroxlmr,worst5,bam,0.007206168241168598
8,afroxlmr,worst5,fon,0.0071475608900755105
8,afroxlmr,worst5,mos,0.007026711403682384
8,afroxlmr,worst5,xho,0.006948965718947875
9,afroxlmr,top5,twi,0.0054617253052811066
9,afroxlmr,top5,luo,0.005844635959078914
9,afroxlmr,top5,kin,0.005978976151482129
9,afroxlmr,top5,ibo,0.006060652473365735
9,afroxlmr,top5,zul,0.006129449148602362
9,afroxlmr,worst5,bbj,0.007828849698853446
9,afroxlmr,worst5,bam,0.007561167721632955
9,afroxlmr,worst5,xho,0.007274739501781369
9,afroxlmr,worst5,fon,0.007256575086103112
9,afroxlmr,worst5,yor,0.0072378601677201004
10,afroxlmr,top5,twi,0.005105445265295809
10,afroxlmr,top5,swa,0.005777958531477149
10,afroxlmr,top5,luo,0.0057821456842551315
10,afroxlmr,top5,lug,0.005798706376329695
10,afroxlmr,top5,kin,0.005881505336219561
10,afroxlmr,worst5,bam,0.00826327226786816
10,afroxlmr,worst5,xho,0.008035562287659559
10,afroxlmr,worst5,yor,0.007521405808499064
10,afroxlmr,worst5,wol,0.007279307160994601
10,afroxlmr,worst5,bbj,0.007277697640195886
11,afroxlmr,top5,twi,0.00468599798523428
11,afroxlmr,top5,swa,0.00547072246490643
11,afroxlmr,top5,pcm,0.005492062660020262
11,afroxlmr,top5,luo,0.005534639376492123
11,afroxlmr,top5,kin,0.0056638242381268356
11,afroxlmr,worst5,xho,0.007771300667930821
11,afroxlmr,worst5,bam,0.0076785270554561675
11,afroxlmr,worst5,yor,0.007410710373884892
11,afroxlmr,worst5,bbj,0.006848363237016504
11,afroxlmr,worst5,wol,0.006803061452349842
12,afroxlmr,top5,twi,0.005780692778444063
12,afroxlmr,top5,kin,0.006415710328989614
12,afroxlmr,top5,luo,0.006428806819106588
12,afroxlmr,top5,pcm,0.006571065492759469
12,afroxlmr,top5,nya,0.006770188792112701
12,afroxlmr,worst5,wol,0.008399876323892386
12,afroxlmr,worst5,yor,0.00836398103456304
12,afroxlmr,worst5,bam,0.008336022600512175
12,afroxlmr,worst5,xho,0.00830101621841095
12,afroxlmr,worst5,sna,0.008052422641867452
