,DATE,LOC,PER,ORG,Mean
lug,0.9190373,0.95780754,0.85755515,0.94477874,0.9197947
luo,0.90743494,0.93391925,0.86226356,0.9453902,0.91225195
tsn,0.9096216,0.9181969,0.8613293,0.9404242,0.90739304
nya,0.9206885,0.9022573,0.8579234,0.94396794,0.90620923
kin,0.9124867,0.9100197,0.85978746,0.9418466,0.9060351
twi,0.87711143,0.9299089,0.84795743,0.9533215,0.9020748
zul,0.92028624,0.9021166,0.85304266,0.93108743,0.90163326
swa,0.89583087,0.93323493,0.8537276,0.9113859,0.8985448
sna,0.88680005,0.9146332,0.84694386,0.94425523,0.8981581
wol,0.903489,0.88725114,0.85059136,0.9298541,0.8927964
mos,0.8946905,0.8909703,0.85192823,0.9328606,0.8926124
xho,0.9115487,0.86544454,0.86101836,0.93075466,0.8921916
bam,0.89587176,0.90149224,0.8512671,0.9114062,0.89000934
ewe,0.86635894,0.9106804,0.820255,0.9370328,0.88358176
ibo,0.8638305,0.87027705,0.8602475,0.86804247,0.8655994
yor,0.87383235,0.8620783,0.8156482,0.90807104,0.8649075
bbj,0.80110407,0.8597652,0.8601356,0.91645586,0.8593652
pcm,0.88932395,0.79991853,0.80167234,0.9218297,0.85318613
fon,0.8843105,0.7047231,0.8590313,0.921731,0.84244895
hau,0.63337314,0.6742996,0.83407557,0.73167974,0.718357
