layer,model,rank_type,language,pearson
2,mbert,top5,lug,0.9999700878831637
2,mbert,top5,sna,0.9999691096867616
2,mbert,top5,wol,0.9999594257623201
2,mbert,top5,kin,0.9999585891198711
2,mbert,top5,hau,0.999958442974298
2,mbert,worst5,pcm,0.9998551927693955
2,mbert,worst5,yor,0.9998707329582008
2,mbert,worst5,bbj,0.9998772785668294
2,mbert,worst5,ewe,0.9998972300588542
2,mbert,worst5,fon,0.9998997578109868
3,mbert,top5,lug,0.999989976228081
3,mbert,top5,sna,0.9999881225617315
3,mbert,top5,hau,0.9999867598314679
3,mbert,top5,kin,0.9999856181120593
3,mbert,top5,wol,0.9999856106459674
3,mbert,worst5,pcm,0.9999542127483493
3,mbert,worst5,bbj,0.9999619889718384
3,mbert,worst5,yor,0.9999624245036531
3,mbert,worst5,ewe,0.9999697702995718
3,mbert,worst5,fon,0.9999717136163904
10,mbert,top5,lug,0.9926086605960489
10,mbert,top5,sna,0.9924331456538664
10,mbert,top5,kin,0.9921505192393132
10,mbert,top5,nya,0.9913670080788761
10,mbert,top5,twi,0.990188334290044
10,mbert,worst5,pcm,0.9686411978180886
10,mbert,worst5,yor,0.9716960337530094
10,mbert,worst5,bbj,0.9723064984825608
10,mbert,worst5,fon,0.9782204687861129
10,mbert,worst5,bam,0.9809048816801383
12,mbert,top5,kin,0.9895538169144018
12,mbert,top5,sna,0.989013985898186
12,mbert,top5,nya,0.9889915031237775
12,mbert,top5,lug,0.9874755986839945
12,mbert,top5,xho,0.9850299327497132
12,mbert,worst5,bbj,0.9329055992890897
12,mbert,worst5,pcm,0.9460740056481799
12,mbert,worst5,fon,0.9536989412013189
12,mbert,worst5,yor,0.958423762405048
12,mbert,worst5,ewe,0.9715622229051192
