,PER,ORG,LOC,DATE,Mean
lug,0.71413195,0.94515735,0.95731664,0.9303311,0.88673425
kin,0.6959723,0.9291097,0.9550742,0.91633683,0.8741233
nya,0.71378446,0.91153497,0.9105937,0.89112395,0.8567593
xho,0.62961143,0.8940151,0.92227334,0.93336946,0.84481734
sna,0.6393817,0.9016684,0.9092171,0.9266522,0.8442299
zul,0.68983936,0.88521427,0.88978076,0.87523836,0.8350182
luo,0.6726556,0.86442405,0.90327215,0.8660656,0.82660437
wol,0.6948992,0.858314,0.871154,0.8356397,0.8150017
tsn,0.65438724,0.8847269,0.84005934,0.87247324,0.8129117
ibo,0.68195426,0.8071404,0.8743187,0.86563015,0.8072609
hau,0.6570674,0.834603,0.84578395,0.87050015,0.8019886
bam,0.6566203,0.81493664,0.85052,0.85801053,0.79502183
twi,0.6616594,0.8392683,0.8323303,0.8304285,0.79092157
swa,0.65366256,0.8322389,0.83334446,0.8283006,0.7868866
ewe,0.61923665,0.8123311,0.78505,0.79986805,0.7541214
mos,0.58359104,0.8150397,0.8214592,0.77721334,0.7493258
pcm,0.5944833,0.8068915,0.78620654,0.7085554,0.7240342
fon,0.6072104,0.76610297,0.77389574,0.6993272,0.7116341
yor,0.5597068,0.6847528,0.7226175,0.7607777,0.6819637
bbj,0.604821,0.69026685,0.68887967,0.6859343,0.66747546
